stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,145.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,76.35,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.67,0,0,0,3.44,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,10.05,0,0,0,0,0,0
 14-21,0,0,1.32,4.02,0.86,2.2,0,6.08,0,1.41,0,0,2.93,0,3.29,55.38,0.97,0,0.88,0.85,0,6.39,3.73,9.85,1.14,0
 24-34,0,0,0,3.04,0,11.94,0,0.83,0,0,0,0,8.14,0,1.99,60.19,0,2.41,0.73,0,0,0,0,16.96,0.84,0.69
 36-46,0,0,0,0,0,7.02,0,1.03,0,0,0,0,2.39,0,0,43.76,0,0,0,0,0,0,0,11.01,0,0
 48-58,0,0,0,0,0,15.41,0,1.8,0,0,0,0,4.48,0.94,0.37,19.6,0,0.94,0.69,0,0,0,0,8.04,0.89,0
 60-70,0,0,0,0,0,6.17,0,0,0,0,0,0,5.87,0,0,9.62,0,0,0,0,0,0,0,2.09,0,0
 72-82,0,0,0,0,0,2.37,0,5.35,0,0,0,0,6.69,0.54,0,2.62,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,4.5,0,1.2,1.9,0,0,0,0.57,0,1.74,16.39,0,0,0,0,0.7,0,0,0,2.42,0
 96-106,0,0,0,0.64,0,2.36,0,0,0,0,0,0,2.41,0,0,13.05,0,0,0,0,0.62,0,0,0,1.37,0
108-118,0,0,0,0.84,0,5.12,0.43,3.71,0,0,0.43,1.17,2.19,0,0.87,13.17,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,7.45,0,0,0,0,4.43,0,7.06,1.88,0,0,0,0,0,0,0,0,0,0
