stage,blastomeres,epidermis,eye,glial,hatching.gland,lateral.line,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord
  7-9,3.29,0,6.34,0,3.25,0,0,0,12.73,0,0,0,0,0
 10-12,0,0,5.55,0,0,0,0,0,68.32,7.08,3.77,0,3.78,0
 14-21,0,0.94,4.85,0,0,0,0,0,1.11,1.57,0,0,0,2.59
 24-34,0,0,0,0,0,0.68,1.04,1.38,6.46,0,0,0,0,1.4
 36-46,0,0,0,0,0,0,0,0.8,7.42,0,0,0,0,0
 48-58,0,0,0.48,0,0,0,0,0,0,0,0,2.94,0,0.98
 60-70,0,0,0,0,0,0,0,0.68,1.22,0,0,0.58,0,0
 72-82,0,0,1.3,0.57,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
