stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,27.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,104.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,0,3.54,0,16.27,0,0,0,0,0,0,0,0,0,0,51.82,0,0,0,16.72,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.95,3.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4.35,0,0,0,0,0,0,0,5.68,0,0,0.83,0,0,1.69,0.91,3.9,0,0
 24-34,0,0,0,0,4.63,0,0,0,0,1.14,0.65,10.38,0.62,0,0,4.96,0.77,0,0,0,2.15,0,7.25,0,0,4.66
 36-46,0,0,0,1.12,0.92,0,0,0,0,0,0,3.33,1.31,8.3,0,3.3,0,0,0,0,0,0,16.82,2.47,0,0
 48-58,0,0,0,0,3.22,0.56,0,0,0,0,0,0,3.82,0,0,5.31,0.94,0,0,0,0,0,0.65,0.5,0,1.04
 60-70,0,0,0,0.58,2.19,0,0,0,0,4.2,3.58,0,5.49,0,0,11.64,0,0,0,0,0,0,15.37,0,0.75,0
 72-82,0,0,0,0,9.27,0,0,0,0.5,0,0,0,4.16,0,0,6.77,0,0,0,0,0,0,7.51,0.54,1.42,0
 84-94,0,0,0,0,10.49,0,0.63,0,0,0,0,0.71,1.68,0,0,5.24,0,0,0,0,0,0,6.85,0,0.74,0
 96-106,0,0,0,0,1.47,2.65,1.19,0,1.05,0,0,0,3.55,0,1.41,0.8,0,0,0,0,0,0,5.18,0,0,0
108-118,0,0,0,0,7.78,2.68,0,0,0,0,2.84,0,0,0,0.93,10.89,0,0.42,5.21,0,0,0,1.36,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0
