stage,epidermis,eye,fin.epithelia,glial,hatching.gland,heart,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,otic,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,0
 24-34,1.6,0,0,0,0,0,0,1.8,0,0,0,1.82,0,0,0,0,0
 36-46,0,1.98,0,0,0,0,0,1.82,0,0,0,5.12,0,8.6,1.37,0,0
 48-58,0,0.5,0,0,0,0,0,7.67,0,0,0.67,10.03,0,1.97,0,0,0
 60-70,0,4.16,0,0.77,0,0,0,6.81,0,0,0,41.07,0,7.49,0,0.85,10.29
 72-82,0,14.75,0,1.08,0,0,0,15.9,0,0,0,22.32,0,0,0,2.93,0
 84-94,0,6.17,0.6,0.58,0,1.22,0,14.07,0,0,0,10.8,0,0,0,3.96,0
 96-106,0,0,0,0,0,0,0,11.01,5.92,0,0,0.82,0.98,0,0,1.7,0
108-118,0,3.52,0,0,0,0,5.15,21.69,0,1.21,0,3.54,0,0,0.57,1.78,0
120,0,1.69,0,0,0,0,0,25.74,0,2.03,0,23.5,4.02,0,0,0,0
