stage,erythrocytes,eye,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,pericytes,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,13.01,0,0,0,0,0,0
 14-21,2.9,0,0,0,0,0,0,1.06,1.97,0,0,0.97,0.82,0,0
 24-34,0,0.75,0,0,0,0,0,0,0.84,0,0,0,0,0,0
 36-46,0,0,0.88,0,0,1.23,0,0.55,0,0,0,0,0,0,0
 48-58,0,0.71,0,0,0,2.51,0,2.19,0,0,0,0,0.39,0,0
 60-70,0,0,0,5.87,0,1.58,2.37,0,0,0,0,0,0,0,0
 72-82,0,0.76,0,0,0,0,0,0.63,0,0,0,0,0,0,0
 84-94,0,0,0,0.56,0,0.96,0,0,1.44,0,0,0,0,1.03,0
 96-106,0,1.09,0,1,0,0,0,0,0,0,0,0,0,0,0
108-118,0,1.04,0.88,0,0.74,0,2.5,0,0,0.69,1.19,0,0,0,0.71
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92
