stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0
  7-9,0,0,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,6.87,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58,0,0,0,6.52,0,0,0,0.62,0,0,0,0
 48-58,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,78.21,0,0,0,0.54,0,0,0,0
 60-70,0,1.23,0,0,0,12.43,0,2.23,0,0,0,0,0,0,2.92,0,0,0,632.46,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.14,4.31,139.51,1.37,114.85,0.66,0,0,10.24,0,0,15.23,0,0,0.5,2223.89,2.03,0,0.74,0,4.21,0,0,0
 84-94,0,0.56,0,0.6,0.55,29.21,0,0,0,0,0,0,0,0,7.6,0,0,0,1552.98,0,0,4.09,0.87,0,8.88,0,0
 96-106,0,1.91,0,2.5,1.85,75.26,0,19.02,14,2.77,0.94,1.89,0,4.24,15.72,0,0,0,2156.67,0,0,7.41,0,0,0,0,0
108-118,0,0,0,1.91,1.13,20.59,0,0,0.5,1.55,0,0,1.15,0,31.23,1.71,2.69,0,4656.42,0,0,0.74,0,0,9.55,0.95,4.48
120,0,0,0,23.53,1.79,167.98,0,29.14,1.93,0,0,0,0,54.74,5.13,0,0,7.52,4796.38,0,0,2.21,0,0,0,0,0
