stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,23.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.13,0,0,0,0,0,0,0,0,0,0,4.45,0,0,0,0,0,0,0,0,3.78,0,0,16.45,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,61.6,3.88,0,0,0,0,0,0,4.51,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,0,15.66,8.14,0,0,3.07,0.97,0,0,0,0,0,0,45.29,80.08,0,0,0,0,0
 24-34,0,0,0,1.37,0,0,0,0.83,3.01,0,0,0,0.8,19.68,0,13.1,1.53,1.31,0,8.42,23.53,0,0,0,0,0.72,11.04,45.18,84.3,6.82,0,0,0,0
 36-46,0,0,0,0,0,0,3.88,12.38,0,0,0,0,0,7.29,0,2.29,9.36,0.67,0,2.91,13.18,0,0,0,0,0,1.81,35.32,1.73,5.62,0,0,0,0
 48-58,0,0,0,4.18,0,0,3.12,20.58,0,2.37,0,4.78,0,2.31,0,0,4.2,0,0,5.64,34.1,0,0,4.77,0,5.83,3.18,55.01,0,3.59,1.02,0.43,0,0
 60-70,0,0,0,0,0,0,1.81,18.06,0,0,0,0,0,3.65,0,0,6.63,0,0,2.71,8.39,0,0,0,0,0,7.69,31.52,0,5.22,0,0,0,0
 72-82,0,0,0,0,7.47,0,9.19,4.81,0,4.56,0,0,0,5.41,0,0,3.18,0,1.15,9.23,16.55,0,0,0,0,0,2.77,9.77,0,0,0,0,0,0
 84-94,0,0,0,0,0.71,0,19.58,19.14,0,3.17,0,0,0,16.01,0,0,10.84,0,0,7.24,28.91,0,0.85,0,0,1.34,2.18,23.86,0,0,0,1,0.96,0
 96-106,0,0,0,0,17.12,0,22.53,21.58,0,0.82,0.56,0,0,9.94,0,0,7.98,0,0,0,12.21,0,4.94,0,1.11,5.69,1.59,15.27,0,0,4.6,0,0,4.75
108-118,0,0,0,1.3,0,0,12.99,23.28,0,0,0,0,0,8.4,0,0.99,1.62,0.61,0,8.1,13.81,0,0.49,0,0,0.54,6.56,6.14,0,0,2.1,2.69,0,0
120,0,0,0,1.03,0,1.16,8.93,12.87,0,0,0,0,0,14.74,12.97,0,1.86,0,0,29.26,42.21,0,0,0,0,1.1,8.07,11.67,0,0,0,0,0,0
