stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,3.4,0,0,0
 10-12,0,0,0,0,0,0,0,5.43,0,0,0,0
 14-21,0,0,0,0,2.13,0,0,0,0,0,1.24,0
 24-34,0,0,0,0,7.05,0,0,0.89,0,2.55,1.1,0
 36-46,0,0,1.32,0,25.97,0,0,0.79,0,0,0,0
 48-58,0,0,0.46,0,19.25,0,0,5.59,0,0,0.44,0
 60-70,0,0,0.79,0,15.8,0,0,0,0,0,0,0
 72-82,0.94,0,0.55,0,31.33,1.4,0,7.31,0,2.2,0,0
 84-94,0,1.12,0,0,47.8,0,0,0.86,0,12.1,0,0
 96-106,0.6,4.87,0,0,63.93,0,0,0,0,12.99,0,1.6
108-118,1.5,0,0.86,0.9,44.1,0,0.49,0,0,15.36,0,0
120,1.39,0,0,0,90.25,0,0,19.38,0,3.71,0,0
