stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,10.75,169.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.49,251.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,6.32,0,0,0,0,0
  7-9,0,4.95,0,0,0,4.01,0,0,3.56,0,0,0,0,0,0,0,202.8,9.68,0,0,59.37,0,0,0,0,0,0
 10-12,0,0,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2,0,0,0,21.19,0,0,0,0,0,0
 14-21,0,0,0,1.7,0,0,2.7,0,0,0,0,0,0,1.15,0,0,6.12,0,0,0,0,1.54,2.64,0,3.02,0,0
 24-34,0,0,0,1.38,0,1.65,0,0,0,2.08,0.62,0.77,3.53,0,1.54,0,9.9,0,1.36,0.73,0,1.48,0,0,3,0,0.8
 36-46,0,0,0,0,2.82,7.86,0,0,0,0,0,0,0,0,0.78,1.13,7.14,0,0,0,0,10.49,0,0,3.7,0,0
 48-58,0,0,0,5.84,0,0.51,0.42,0,0,0,0,0,0,0,1.52,0,14.98,0,1.37,0,0,9.06,0,0,1.28,0,3.56
 60-70,0,0,0,6.01,0,6.64,0,1.69,0,0,0,0,0,0,1.67,0,15.81,0,0,0,0,6.51,0,1.17,1.16,0.84,0
 72-82,0,0,0,0.53,0.6,3.56,0,0,0,0,0,0,0,0,1.13,0,5.69,0,0,0,0,5.45,0,0,0,0,0
 84-94,0,0,0,0.75,0,8.28,0,0,0,0,0,1.2,0,0,1.06,0,8.82,0,0,0,0,0.83,0,0,0,0,0
 96-106,0,0,0,0,0,3.69,0,0,0,0,0,0,0,0,1.08,0,4.08,0,0,0,0,0.76,0,0,0,0,0
108-118,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,11.47,0,0,0,0,2.22,0,0,0,0,0
120,0,0,0,1.34,0,11.47,0,0,0,0,7.08,0,0,0,0,0,11.69,0,0,0,0,1.01,0,0,0,0,0
