stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,132.7,1843.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.5,0,0,0,0,0,0,0,0
  5-6,63.73,856.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8,0,0,0,0,0,0,0,0
  7-9,0,35.43,9.06,0,0,58.78,0,0,0,0,6.21,0,0,0,0,0,0,0,0,0,960.09,0,0,0,116.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.14,14.95,0,0,21.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.45,0,0,0,24.99,0,0,0,0,3.39,0,0,0,0,0
 14-21,0,0,0,23.67,0.97,6.32,0,0,0,0,0,0,0,0,0,0,17.83,0,0,6.03,50,0.99,3.47,1.87,0,0,7.77,0,2.16,0,5.73,16.87,0,0,0
 24-34,0,0,0,3.78,0.68,1.64,0,0,0,0,0,0,0.72,0,0,0,10.85,0,0,1.62,90.67,0,4.21,0,0,0,7.03,0.86,0,1.08,0,20.25,0,8.13,0
 36-46,0,0,0,6.74,0,3.84,0.56,0,0.93,0,0,0,0,0,0.8,0,8.67,0,0,0,177.1,0,3.6,1,0,0,12.32,0.81,0,0,0,26.91,0,3.86,0
 48-58,0,0,0,3.64,0,27.05,0,0.69,2.16,0,0.49,0,0,4,0,0,3.23,3.76,0.41,0.71,236.68,0,3.89,0,0,0,0.81,0,0,0,0,27.01,0,0,0
 60-70,0,0,0,2.63,0,69.57,1.13,0,5.7,0,0,0,0,0,0,0,2.04,0,0,0,382.23,0,2.77,0,0,0,3.4,0,0,0,0,34.32,0,0,0
 72-82,0,0,0,0.76,0,87.84,0,0,4.62,0,0,0,0,0,1.61,0.78,5.17,0,0.92,0.56,417.59,0,1.48,0,0,0,3.56,0,0,0,0,34.17,0,0,0.59
 84-94,0,0,0,4.21,0,88.55,0,0,6.27,0.97,0,0,0.8,0,0,0,1.19,0,0,1.17,238.92,0,2.51,0,0,0,8.51,0,0,0.56,0,33.09,3.09,0,0
 96-106,0,0,0,7.06,0,97.28,0,0,13.59,0,0,2.91,0,0,0,0,2.43,0,0,1.67,305.59,0,2.4,0,0,3.62,5.07,0,0,0,0,16.3,4.98,0,0
108-118,0,0,0,4.86,0,97.3,0.65,0,5.19,0.45,0,2.97,0,0,0,0.5,3.81,0,0,0,340.02,0,0.96,0,0,0,0,0,0,0,0,18.51,1.8,1.77,2.47
120,0,0,0,3.13,0,121.07,6.92,0,14.32,4.26,0,9.55,1.4,0,0,0,0,0,0,4.56,653.74,0,0,0,0,0,0,0,0,2.43,0,35.29,0,0,0
