stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.6,0,0,0,5.97,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78,0,0,0,10.84,0,0,0,0,3.14,0,0,0,0,0,0,0
 14-21,0,0,0,10.18,5.12,3.01,0,0,0,51.18,0,0,0,64.66,0,0,0,11.05,1.66,0,4.85,80.72,0,2.88,7.2,2.16,0,0,0,9.5,33.49,0.8,7.59,116.55,0,7.38,0,0
 24-34,0,0,0,5.12,2.5,10.12,0,0.68,0.61,79.45,0.92,0,0,450.97,0,0,0,24.32,74.36,0,3.37,166.2,1.54,41.43,0.61,0,0,2.14,0,0,12.94,0,3.37,138.82,0,48.98,0,0
 36-46,0,0.98,0,10.31,0.58,8.73,0,1.08,0,47.2,0,0.65,0,317.43,0,0,0,25.73,64.77,0,4.08,170.22,0.65,25.93,2.36,0,0,0.58,0,0,19.08,0,0,118.15,0,12.51,0,0
 48-58,0,0,0,14.9,0,43.36,0.6,0,0.45,67.27,1.02,2.54,0,134.97,0,0.5,8.87,30.23,40.98,0,1.93,115.14,3.21,22.77,0,0,0.56,5.42,0,0,6.14,0,0,102.81,0,4.61,0.5,2.5
 60-70,0,0,0,11.27,0,59.81,2.44,3.76,0,92.79,0,1.29,0,131.05,0,0,0,34.77,12.15,1.54,2.02,116.75,0,8.49,0,0,5.94,10.57,0,0,2.6,0,0,50.82,0,4.44,1.7,0
 72-82,0,0,1.49,10.83,0,36.62,0,7.9,1.72,75.36,1.52,1.04,1.93,73.16,0,7.06,2.22,52.89,19.64,1.52,0.55,121.86,0,51.45,2.2,0,4.22,0,0,0,1.99,0,0,39.69,6.22,6.02,1.04,0
 84-94,0,0.84,4.12,19.96,0.65,50.49,0,1.4,0,64.47,0,0,0.97,20.67,0.65,2.5,0,46.89,29.08,0,8.43,83.65,0,42.01,6.75,0,14.93,8.63,0,0,5.15,0,0,31.02,6.91,7.84,7.09,0
 96-106,0,0.99,0,55.32,0,56.17,1.46,6.66,1.77,130.12,2.01,0.68,0.87,50.48,0,7.37,5.58,76.75,57.13,0,1.33,119.19,0,71.2,10.85,0,15.92,7.07,2.06,0,0.81,0,0,20.92,3.65,12.96,4.18,1.69
108-118,0,5.02,6.72,31.21,3.23,11.48,1.44,4.49,4.1,121.68,1.77,1.49,0,79.09,0,0.51,0,44.88,16.24,2.08,4.05,137.86,0.56,41.15,6.44,0,2.78,2.37,0,0,3.71,0,0,32.64,3.43,9.85,3.74,9.5
120,0,0,1.28,18.92,1.76,11.29,0,2.08,0,52.29,2.51,3.06,0,46.21,1.58,0,19.61,50.31,0,0,1.9,148,0,34.34,17.91,0,4.22,0,0,0,0,0,0,11.73,6.5,2,1.93,3.58
