stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.31,0,0,0,0
  5-6,72.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.52,0,0,9.05,0,0,0,0,0,0
 10-12,5.74,5.73,0,25.35,0,0,0,0,0,0,0,0,0,0,0,26.11,0,0,4.22,0,0,0,0,0,0
 14-21,0,0,63.6,7.22,0,0,0,0,5.1,12.12,0,0,120.79,0,17.18,18.6,1.45,1.89,0,0,1.45,1.16,1.63,0,0
 24-34,0,0,40.95,0.91,2.62,0,0,0.8,2.25,32.68,0,0,139.1,0,65.47,50.46,0,0.88,0,0,0,0,1.73,0,0
 36-46,0,0,3.2,0,0,0,0,0,0.57,16.37,23.53,1.21,107.48,5.95,3.66,59.57,0,5.06,0,15.85,0,0,0.87,0,1.52
 48-58,0,0,4,0,1.22,0.5,0.58,0,0,15.69,0,0,44.22,2.08,3.95,34.17,0,0.85,0,0.48,0,0,8.18,0,0
 60-70,0,0,0,0,3.87,0,0.84,1.03,1.6,4.36,0,0,48.84,0,0,14.61,0,2.04,0,0,3.15,0,3.96,0.71,0
 72-82,0,0,0,0,12.1,0,0,0,0,0,0,0,5.29,0,2.19,8.79,0,0,0,1.61,0,0,3.51,1.54,0
 84-94,0,0,0,0,6.73,0,0,0,0,0.79,0,0,9.91,0,0.58,2.75,0,1.75,0,0,0,0,2.19,0,0
 96-106,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,9.87,0,0,0,0,0,0,0,0,2.62
108-118,0,0,0,0,4.52,0,0.74,1.14,0,1.76,0,0,1.24,1.28,0,1.01,0,0.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0,0,0,0,1.29,0,0,0,0,0,0,0
