stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.43,0,0,0,0,0,40.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.27,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0
 10-12,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.85,14.79,0,0,12.79,0,0,0,5.64,0,0,0,0,0,0,0
 14-21,0,0,2.14,6.61,0,0,8.58,0,0,0,5.72,0,0,0,0.96,0,0,0,0,8.02,0,0,2.45,139.89,4.24,1.07,0,0,0,0,4.6,0,0.81,27.52,0,0,0,0,0
 24-34,0,0,0.6,16.6,0.69,0,101.57,0,0,0,10.08,0.59,0,2.35,2.1,0,4.29,0,0,46.62,2.63,0,14.05,1235.13,2.7,4.02,8.77,0,0.99,7.73,0.85,4.04,0.68,160.58,0,0,2.55,0,0
 36-46,0,1.8,0,9.13,0.76,0,305.63,0,1.38,0,88.72,0.57,0.71,0,3.51,0,5.51,1.92,0.66,120.92,0,0,9.49,2639.89,2.9,8.63,8.64,0,0,0.69,0,5.01,0,441.83,0,0,6.97,0,2.23
 48-58,0,0,0,21.65,0,0,637.11,0,0.9,8.23,166.91,0.56,3.14,3.54,0,3.79,2.54,3.59,4.51,170.39,0.94,3.39,13.58,2282.68,9.85,8.23,7.14,0,0,4.55,0,0.44,0,367.05,0,0.42,5.47,0,4.02
 60-70,0,11.24,0,19.2,0,0,984.18,0,2.8,3.43,99.92,1.42,0.58,1.38,6.83,3.19,5.16,5.7,2.38,213.16,0.84,1.91,24.25,1591.24,11.58,13.31,4.31,0,0,0,0,4.61,0,268.22,0.81,1.25,7.2,1.68,9.77
 72-82,0,4.43,0,18.91,1.72,0,891.3,0.82,0,5.39,138.05,2.69,5.64,0.71,4.1,12.37,5.48,6.98,0,352.83,2.26,4.89,30.02,1153.48,7.26,17.48,9.97,0,5.1,1.08,0,1.18,0,131.33,0.59,17.3,12.23,2.88,35.77
 84-94,0,0.66,0,37.55,0.94,0,708.6,1.82,8.9,7.38,140.65,3.52,0.98,5.36,3.97,5.71,5.1,3.36,0.68,327.62,0,4.88,23.99,847.46,7.41,19.65,20.91,0,2.65,0,0,7.5,0,112.94,5.18,11.96,6.01,6.83,9.31
 96-106,0,0,0,38.94,1.85,0.71,532.88,4.26,0.57,5.46,161.98,10.65,6.5,6.64,2.41,6.03,15.08,2.53,0,372.37,5.92,7.87,20.27,746.47,5.39,28.32,32.45,0,1.03,3.91,0,1.22,0,43.58,4.24,4.22,20.64,4.79,8.77
108-118,0,4.17,0,43.6,4.81,0,493.5,1.13,2.03,7.81,167.87,6.72,1.53,16.97,8.73,17.22,10.38,7.09,3.1,442.49,1.46,26.22,34.73,754.95,5.85,18.86,25.18,0,1.91,5.31,0,6.91,0,15.76,6.8,8.57,25.21,8.44,12.19
120,0,0,0,49.76,2.55,0,321.74,4.97,2.39,23.61,150.78,9.64,2.11,9.51,0,3.91,0,9.05,0,271.34,0,0,35.1,734.25,10.56,24.39,43.67,0,0,2.64,0,2.05,0,69.21,2.74,0,1.96,13.22,2.34
