stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,10.56,78.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.44,199.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0,0,0,0,0,0,0
  7-9,29.31,5.65,4.15,0,0,46.24,0,0,0,0,0,0,0,0,0,0,0,0,297.12,18.12,0,0,79.58,0,8.66,0,0,0,0,0,0
 10-12,0,10.82,0,0,0,67.12,0,0,0,0,9.63,0,0,0,0,0,0,0,266.93,17.92,0,0,87.93,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.73,0.9,0,0,0,0.82,0,0,0,0,0,0.86,0,0,1.22,10.28,0,0,0,0,0,0,5.09,0,2.66,2.88,0,0
 24-34,0,0,0,1.73,0,3.52,0,0,0,0,0,0,0,0,4.7,0,0,0.66,42.62,0,0,0,0,2.8,0,0,0,0.74,7.92,0,0
 36-46,0,0,0,0,0,3.1,0,0,0.76,0,0,0.89,0,0,1.78,0,0,0,34.66,0,3.07,0.75,0,2.23,0,0,0,0,12.37,0,0
 48-58,0,0,0,0.48,0,10.56,0,0.96,1.55,0,0,0,0,0.4,3.71,0,0,0.75,7.08,0,1.16,0,0,2.91,0,0,0.4,0,3.94,0,0
 60-70,0,0,0,0,0,0,0,4.11,7.15,0,0,0,0,0,2.76,0,0,0,9.56,0,0,0,0,0.87,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.45,0,0,1.86,0,0,1.19,0,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.57,4.07,0.75,1.03,0,0,0,0,4.21,0,0,0,2.01,0,0,0,0,1.19,0,0,0,0,0,1.86,0
 96-106,0,0,0,0,0,1.48,0,0,0.61,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,1.52,0,0,0,0,0,0,1.36
108-118,0,0,0,0,0.82,0.92,0,0,0.81,0,0,0,0.93,0,0,1.41,0,0.44,5.72,0,0,0,0,0,0,0,0.42,0,0,0,0
120,0,0,0,3.13,0,3.49,0,0,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81,0,0,0,0,0,0,0
