stage,axial,blastomeres,eye,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,spinal.cord
  3-4,12.69,628.63,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.77,501.85,0,0,0,0,0,0,0,0,0,0,8.65,0,0
  7-9,5.44,5.39,11.75,0,3.84,0,0,0,0,46.35,3.24,0,39.95,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.74,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.23,1.93,2.53,0,0,0,0,0.96
 24-34,0,0,0,0,0,0,0,1.91,0,7.18,0.6,2.07,0,0,0
 36-46,0,0,0,0,0,0,0,0.9,0,0.77,0,0.83,0,0,0
 48-58,0,0,0,0.48,0,0,0,2.71,0.56,0,0.69,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.68,0,1.73,0,1.92,0,0,0
 72-82,0,0,1.07,0,0,0,0,14.74,0,3.04,0,0,0,12.03,0
 84-94,0,0,0,0.95,0,0,5.33,6.67,0,0,0.89,0.6,0,5.37,0
 96-106,0,0,1.92,0,0,0,0,11.99,0,2.37,0,0.88,0,11.28,0
108-118,0,0,0,0,0,0.59,0,3.85,0.47,5.07,0.71,0,0,10.08,0
120,0,0,0,0,0,0,0,1.43,8.02,0,0,0,0,0,0
