stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,25.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,60.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.32,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.72,0,0,0,13.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.44,0,0,5.55,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,68.28,0,0,0,35.1,0,0,0,25.97,0,0,0,0,0,0
 14-21,0,0,0,0,5.2,1.85,0.81,0,0,38.79,0,0,0,0,0,0,0,0,0,2.54,0,0,0.91,48.33,2.09,5.63,4.88,1.7,0,0,12.58,25.01,1.05,159.25,0,0,0,0
 24-34,0,0,0.75,2.24,1.1,0,0.62,0,0,44.13,0,0,0,0,0,0,0,0.6,0,1.96,0,0,7.85,93.24,3.68,52.25,2.15,0,0,0,0,30.67,2.61,143.44,0,0,0,1.18
 36-46,0,0,0,0,0,0,1.34,1.71,0,31.01,0,0,0,0,0,0,0,0,5.42,0,0,0,0,134.6,0,47.38,0,0,0,0,0,11.33,0,114.53,0,0,0,1.2
 48-58,0,0,0,0,0,0,6.66,0,0,44.74,0,0,0.49,0,0,0,0,0,0,0.43,0,0,0,168.21,0,33.52,9.13,0,0,0.57,0,27.87,0,61.16,0,0,0,1.67
 60-70,0,0,0,0,0,0,20.08,0,2.4,33.45,0,0,0,0,0.93,0,2.69,0,0,3.34,0,0,0,302.15,0,35.11,10.48,0,4.91,3.64,0,28.35,0,39.77,0,0,0,0
 72-82,0,0,0.88,0,2.21,0,31.79,0,0,43.88,0.57,0,0,0,0,7.77,1.2,0,0,19.76,0,2.8,2.86,356.87,0,42.62,9.77,0,0,0,0,0.57,0,36.36,0,0,0,9.1
 84-94,0,0,0,0,0.56,0,51.57,0,0,50.63,0.56,0,0,3.19,0,0.74,0,0,0,0.62,2.01,0,0,246.17,0,41.11,16.3,0,0,0,0,6.38,0,36.23,2.36,0,0,6.73
 96-106,0,0,1.75,0.59,0,0,28.63,0,0,43.05,0,0,0,0.64,0,0,6.28,15.74,0,4.68,0,0,0,247.33,0,80.56,23.57,0,6.23,0.68,0,7.68,0,26.2,0,3.44,0,10.23
108-118,0,0,0.41,0.42,0.46,0,30.2,0,0,49.51,1.14,0,0,0,0,0,2.34,0,0,8.42,0,0,0,409.59,0,61.15,12.24,0,0.76,0,0,3.34,0,32.48,0,0,2.29,2.47
120,0,0,0,0,19.85,0,19.45,1.33,0,43.82,0,0,0,0,0,0,3.79,0,0,0,0,0,0,572.05,0,37.52,15,0,0,0,0,1.87,0,14.27,0,0,0,0
