stage,epidermis,erythrocytes,eye,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,19.81,0,0,0,7.06,0,0,0,0
 14-21,1.14,1.15,0,0,0,0,0,1.36,1.09,13.39,0,0,2.13,0,0,1.03,2.64,0
 24-34,0,0,0.65,0,0,0,0,0,0,10,0,0.98,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,2.81
 48-58,0.39,0,1.43,0,0,0,0,0.63,0,0,0,0,0,0,1,0,1.27,8.09
 60-70,0,0,0,0,0,1.51,0,0,0,0.85,6.6,0,0,0,0,0,0.8,0.74
 72-82,0,0,0,1.24,0,0,0,0.75,0,0,0,0,0,0,0,0,0,15.62
 84-94,0,0,0.9,0,0,0,1.28,6.64,0.75,0,0,0,0,0,0,0,0,23.24
 96-106,0,0,0.65,0,0,0,0,0.96,0,1.37,0,0,0,0,0,0,0,49.43
108-118,0,0,2.19,1.39,0.81,0,0,1.25,0,0,0,0,0,0,0,0,0,28.3
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.01
