stage,eye,glial,mesenchyme,neural,olfactory,otic,periderm
 24-34,0,0,0,3.39,0,0,0
 48-58,0,0,0,1.86,5.24,0,0
 60-70,0,0.87,0,1.28,55.29,0,0
 72-82,0.81,0,2.83,9.3,307.27,0,0.57
 84-94,0,0,0,0,56,0,0
 96-106,1.47,0,0,0,219.87,0,0
108-118,0,0,0,0,40.27,0.72,0
120,0,0,0,0,288.87,0,0
