stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,58.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0
  5-6,0,31.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.57,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,6.96,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.68,4.95,0,1.47,0,0,0,0,0,0,0,0,0,0,0,47.35,0,14.06,55.96,0,0,0,0.82,0,0,0,1.3,12.67,0,0,0,0,0
 24-34,0,0,0.67,0,0,1.89,0,10.81,0,2.71,0,3,0,0,0,0,0,0.65,0,52.94,0,19.22,655.83,0,3.16,5,0,0.99,0,0.79,0,112.77,0,0,4.07,0,0
 36-46,0,0,0,0,0.73,0,0,37.41,0,0,0,10.93,0.56,0,0,0,0,0,0,118.14,19.65,7.77,1171.46,2.72,2.47,0.57,0,0.77,0,0,0,138.15,0,0.85,0.78,0,8.93
 48-58,0,0,0,0,3.44,0.58,0,138.21,0,0.75,0.41,22.99,0,0,0,0,0.38,0,2.05,55.64,5.21,8.59,1726.97,0,0,4.52,0,0,4.8,0.53,0,86.65,0,0,0,0.78,6.01
 60-70,0,0,0.57,0,2.31,0.58,0,298.23,0,0,1.48,15.14,0,0.61,0,0,7.43,0.66,0,94.28,30.02,2.97,2744.51,0,0,5.64,0,1.03,4.77,2.46,0,131.81,0,10.6,0,10.63,5.27
 72-82,0,0,0,0,14.26,0,0,557.29,0,0.5,0.56,33.24,1.68,0,0,0,4.15,0.79,0,98.89,60.55,1.91,3781.24,9.68,2.77,12.86,0,0,0.58,1,0,125.54,5.42,21.59,2.7,37.88,0
 84-94,0,0,0.7,1,11.65,1.47,0,449.42,5.11,2.25,0,40.61,0.93,0,1.38,0,1.34,1.07,0,98.08,85.79,4.47,2501.32,0,5.27,16.99,0,0,3.99,1.74,0,75.56,0.86,18.6,1.85,57.69,0.86
 96-106,0,0,2.08,0,8.49,0,0,483.98,0,1.14,1.65,52.55,3.7,1.61,0,4.05,0,3.33,9.82,94.6,60.88,3.12,2425.29,3.03,3.18,20.3,0,0,6.98,0,0,21.81,0,28.01,1.87,56.46,9.96
108-118,0,0,2.1,0,10.24,11.94,1.78,566.96,0,1.57,0,28.25,1.38,0,0,0,0,1.76,2.82,79.1,46.88,5.27,2684.29,0,1.07,22.69,0,0,0,1.17,0,49.37,0,26.73,1.42,19.59,16.36
120,0,0,16,0,47.49,10.93,0,506.07,0,0,0,28.15,4.29,0,4.1,0,0,2.98,0,176.77,83.46,0,3390.92,0,0,23.43,0,6.38,8.4,0,0,39.98,0,0,0,48.92,0
