stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal_cord,taste
  3-4,0,120.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.57,96.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0
 14-21,0,0,0,0,0.95,0,0,0,18.57,0,0,1.98,0,8.95,0,3.11,17.22,0,77.66,0
 24-34,0,0,0,0.63,0,0.77,0,0,26.34,0,0,1.07,6.82,18.95,1.66,0,10.78,1.64,58.81,0
 36-46,0,0,0,0,0,0,0,8.76,41.14,0,0,2.42,0,34.88,4.61,0,7.94,0,46.57,0
 48-58,0,0,0,0,0,1.73,1.02,0,38.32,0,0,0,0,17.7,3.43,1.12,2.11,0,38.63,0
 60-70,0,0,0,0,0,20.22,0,0,12.16,0,0.7,0,0,1.58,8,0.7,0,0,32.86,0
 72-82,0,0,0,0,0,0.97,0,0,16.21,0.64,2.78,0,0,8.61,7.86,3.69,0.86,0,6.07,0
 84-94,0,0,3.52,0,0,4.2,0,0,41.9,0,1.44,0,0,5.71,14.57,3.45,1.69,0,20.94,1.17
 96-106,0,0,1.25,0,0,2.47,0,0,18.22,0,6.02,0,0,5.21,9.67,7.41,0.7,0,7.49,0
108-118,0,0,0,0,0,0,0,0,23.56,0.61,2.01,3.71,0,6.55,2.55,4.62,2.25,0,6.29,0
120,0,0,0,0,0,0,0,0,5.08,0,8.17,0,0,0,0,10.02,9.85,0,0,0
