stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,217.46,2999.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.19,0,0,0,0,0,0,0,0,0
  5-6,64.06,1232.73,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,36.95,0,0,0,0,307.05,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,18.21,0,0,0,42.65,0,0,0,0,418.57,0,0,0,0,0,0,0,0,0,0,0,241.6,0,0,0,33.34,33.85,7.7,0,0,0,0,0,0,0,0
 10-12,0,5.05,0,36.87,0,0,0,3.34,0,0,0,0,377.96,0,0,0,0,0,0,0,0,0,0,0,330.68,0,0,0,11.57,11.86,0,10.11,0,0,0,0,0,0,0
 14-21,0,0,1.11,5.96,246.99,0,0,0.82,3.71,0,0,0.92,84.07,0,0,85.44,0,0,0,0,0,4.71,0,0.93,16.28,2.47,1.77,3.74,0,332.16,0,15.48,0.88,4.75,0,0,0,0,0
 24-34,0,0,0.75,2.98,200.31,0,0,7.5,18.59,0,0.59,0,26.52,0,0,89.68,0,2.04,1.38,0,5.69,41.3,0,1.56,82.12,0,28.69,10.83,0,629.44,0,5.67,0,11.67,0,0,0.91,0,0
 36-46,0,0,0,0,181.6,0,0,2.63,46.55,0,0.71,1.14,2.55,0.87,0,69.73,0,3.12,1.35,0,5.91,36.19,0,0,97.81,0.66,27.12,21.03,0,677.75,0,2.03,0,7.7,0,0,0,0,0
 48-58,0,0,0,0.43,147.97,0,0,10.19,46.79,0,2.32,0.93,5.93,0,0,37.84,0,4.9,0.5,0.86,14.85,24.55,0,0.47,77.85,0,16.48,6.28,0,394.94,0,1.92,0,13.43,0,0,0.77,0,0
 60-70,0,0,0,0,164.53,0,0,15.64,48.34,0,4.89,11.03,5.49,0,0.58,19.38,0,8.19,0,0,4.86,24.14,0,0,53.54,3.11,19.96,23.02,0,467.38,0,7,0,1.15,0,0,1.66,0,0
 72-82,0,0,2.8,0,148.1,0,0,11.17,44.14,2.6,2.32,22.59,0,0.93,4.97,47.18,0,9.41,6.41,0,6,51.59,5.33,2.87,107.26,0,22.45,15.4,0,377.22,0,0.57,0,3.64,16.98,3.36,2.29,0,0
 84-94,1.23,0,1.67,1.01,227.82,0,0,27.12,70.03,0,0.68,35.33,7.37,0,0,69.87,1.02,10.67,2.72,0,12.84,49.62,0,0,57.66,0,6.23,14.16,0,932.56,0,5.43,0,0,12.62,0,0,1.36,0
 96-106,0,0,4.05,0,259.61,24.26,0.57,48.58,73.66,0,6.62,50.57,1.06,0,2.34,70.75,0,9.81,17.68,0,17.26,49.46,0,5.88,90.53,0,32.98,17.19,0,775.09,0,2.3,0,0,19.16,4.17,1.77,0,6.62
108-118,0,0,4.17,2.24,379.59,6.82,7.49,32.58,108.89,5.45,8.62,57.02,0,0,5.9,81.02,0,8.06,8.17,0,9.83,69.07,0,2.11,95.21,0,12.96,22.36,0,718.81,0,2.63,0,7.6,20.57,0,0.43,0,0
120,0,0,0,0,338.98,0,0,4.31,82.65,0,0,31.16,0,0,4.51,28.57,0,3.31,4.15,0,0,60.05,8.33,1.86,88.71,0,21.17,11.15,0,491.18,0,4.43,0,2.78,26.83,3.8,0,14.75,0
