stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88,43.1,0,0,22.37,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,29.47,40.07,0,12.27,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,841.7,75.82,0,0,175.45,0,3.1,5.95,0,0,0,28.93,0,0,0,0,0,0
 14-21,0,0,474.05,2.88,0,4.74,0,28.63,0,0,0,12.1,0,0,0,0,0,0,134.25,1.71,0,367.54,26.78,703,0,0.81,1.37,0,0,0,88.4,0,9.15,275.38,5.5,0,0,0,0,0
 24-34,0,4.8,221.28,0,0,0.61,3.25,250.4,10.16,0,0,16.24,0,0.61,0,1.43,0,0,135.77,1.35,0,409.95,66.94,8.04,0,5.03,0,1.99,6.1,0,0.71,0,0.74,56.21,5.15,0,0,0.74,0,0
 36-46,0,0,38.35,0,0,4.46,49.26,462.65,39.08,1.86,0,4.74,0,0,0,0,1.34,0,434.73,0,1.63,330.65,97.12,6.51,1.06,3.11,0,0,10.44,0,0,0,23.87,0,13.75,0,0,0,0,0
 48-58,0,0,29.22,0.41,0,40.03,68.87,433.53,104.39,5.7,0,7.56,0,0,0,0.46,0,0.56,557.48,0,9.41,186.55,154.71,0.93,0,10.48,0,0.93,0.75,0,0,0,25.96,0,12.67,0,0,0,0,7.86
 60-70,0,0,41.65,0,0,35.03,44.48,450.28,62.3,21.62,1.87,8.24,0,1.85,0,0,1.2,0,935.67,0,5.73,326.5,102.56,1.36,0,1.85,0,2.33,0,0,0,0,42.63,0,22.08,0,0,1.95,0,0
 72-82,0,0,36.22,0,0,79.22,44.81,306.82,122.03,4.46,2.44,4.08,0,2.12,0.93,4.44,3.06,1.32,1126.25,0,12.13,341.93,62.86,0,0,12.24,0,0,5.73,0,0,0,27.92,0,9.5,8.01,3.04,2.8,4,0
 84-94,0,0,60.07,9.7,0,89.15,62.49,542.03,108.46,5.2,5.21,0,3.07,3.59,0,0.61,2.36,0,986.7,0,17.82,226.21,37.06,0,0,5.71,0,0,8.6,0,0,0,70.71,0,5.65,6.71,8.56,0.63,0,0
 96-106,0,0,194.64,0,0.62,67.58,78.17,609.11,90.19,20.97,40.82,1.63,3.21,2.2,0.72,1.11,0,0,1014.23,0.57,45.9,196.3,123.77,0,7.03,5.32,0,2.66,3.14,0,0,0,65.99,0,1.07,17.82,5.74,0.74,20.19,4.76
108-118,0,0.49,126.43,1.7,0,57.68,28.83,839.81,52.61,2.84,39.11,5.69,0.42,0,0,0,0.61,2.36,1295.06,0,18.45,228.16,153.97,0.51,0.51,6.61,0,1.49,4.93,0,0,0.79,53.51,0,1.73,12.28,0.41,1.44,1.63,0
120,0,0,117.54,5.14,5.97,24.26,10.54,636.87,70.82,3.75,7.51,0,0,1.65,0,0,0,0,1325.07,4.63,57.87,155.88,74.04,0,0,28.32,0,13.2,3.21,0,0,6.97,51.83,0,0,5.95,1.32,15.53,11.12,0
