stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0
  7-9,6.22,0,0,38.38,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,103.6,0,0,0,28.13,0,6.23,0,0,0,0,0,0,0,0
 10-12,0,10.9,0,90.5,0,6.14,0,5.73,0,0,0,6.15,0,0,0,0,0,0,0,0,293.35,22.95,0,0,76.51,0,0,0,14.88,0,0,0,0,0,0
 14-21,0,0,1.11,0,0,0.9,0,2.39,0,0,0,0,0,0,0,0,0,3.83,0,1.62,83.37,2.49,0,0,0.86,0,0,4.76,0,0,0.89,12.96,0,0,0
 24-34,0,0,0,0,0,0.86,0,3.46,0,0,0,0,0,0,0,0,0.59,5.99,0,0,101.68,1.37,0,27.16,0,0,3.27,0,0,1.7,0,13.63,0,0,0
 36-46,0,0,0,0,0.77,0,0,50.31,0,0,6.09,0,0,0,0.74,0,0,11.41,0,0,200.59,0,0,43.15,0,0,0,0,0,0,0,32.56,0,0,0.85
 48-58,0,0,0,0,0,0,0,172.32,0,0,3.07,0,0,0,2.54,0,0,10.11,0,0,196.7,0,0,51.82,0,0.61,0,0,0,0,0,55.82,0,0,0
 60-70,0,0,0.7,0,1,0,0,370.3,0,0,5.1,9.59,0,0,0,0,0,5.6,0,0,234.98,0,0.98,57.51,0,0,1.02,0,0,0,0,41.43,1.62,0,0
 72-82,0,0,0,0,1.8,0,0,567.21,0,2.74,29.2,0,0,0.5,2.96,0,0,15.85,0,0.88,305.27,0,0,203.64,0,0,0,0,0,0,0,41.54,0,0,0
 84-94,0,0,0,0,1.85,0,0,409.66,0,1.26,6.39,0,1.8,0,0,0,0,2.19,0,0,171.59,0,0,248.86,0,0,0,0,0,0,0,21.51,0,0,0
 96-106,0,0,0,0,1.22,7.38,0,486.18,0.63,0,19.53,0,0,0,0,0.74,0,11.9,0,3.9,218.04,0,0,274.77,0,0,1.79,0,0,0,0,22.41,3.22,1.53,0.9
108-118,0,0,0,0,2.29,2.02,0.46,444.37,0.95,0,29.49,0,0,0.56,0,1.07,0,14.33,7.19,0.57,279.64,0,0,228.7,0,0,1.03,0,0.84,0,0,1.82,2.89,0.65,0
120,0,0,0,0,3.51,0,0,478.93,0,0,75.49,0,0,0,0,0,0,11.55,2.4,0,381.45,0,0,269.17,0,0,0,0,0,0,0,3.82,0,0,0
