stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,26.1,294.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0
  5-6,17.78,435.24,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,17.71,24.98,0,0,54.57,0,0,0,0,25.05,0,0,0,0,0,0,0,0,0,0,421.59,10,0,0,183.89,0,0,0,0,0,0,0,0,0
 10-12,0,60,65.19,0,9.33,75.72,0,0,0,0,22.75,0,0,0,0,0,0,0,0,0,0,801.05,16.28,0,0,232.05,4.24,0,0,26.4,0,9.11,0,0,0
 14-21,0,0,2.13,14.92,12.28,19.66,0,0,5.33,1.09,1.34,0,0,0,0,0,0,8.64,1.02,0,12.33,188.04,7.94,0,3.44,0.82,1.01,0.91,37.95,4.04,3.07,44.57,47.97,5.46,0
 24-34,0,0,0,9.48,3.73,26.86,0,0.61,6.5,0,0,0,0.71,1.75,0,0,0,13.8,0,0,9.48,185.58,0,2.07,1.54,0,0,0,0,0.6,0,8.9,30.22,4.34,2.09
 36-46,0,0,0,0,0,20.17,1.64,0,3.05,0,0,0,0,0,0,0,0,13.45,0,0,1.33,71.34,0.59,1.28,0,0,0,0,0,0,0,0,14.89,0,0
 48-58,0,0,0,0,0.94,27.52,0,0,7.15,0.67,0,0,1.26,0,0,0.45,0,8.96,0,0.41,3.94,66.4,0,0.48,0,0,0,0,0,0,0,0,11.86,0.98,0
 60-70,0,0,0,1.3,0,22.46,0,0,7.68,1.59,0,0,0,0,0.85,1.2,0.74,4.63,0,0,0,30.28,0,0,0,0,4.37,0,0,0,0,0,4.67,0,0
 72-82,0,0,0,0,0,54.13,0,0,2.86,0,0,0,2.26,0,0,0,0,1.21,0,0.57,1.45,20.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.84,0,24.6,0,0,0.75,1.45,0,0,0,0,1.06,0,0,6.54,0,0.78,2.43,21.57,0,0,0,0,3.16,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.41,0,19.85,0,1.8,0,0,0,0.68,0,0,0,0,0,0.66,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.71,0
108-118,0,0,0,0.76,0.76,5.43,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,11.79,0,0,0,0,0.44,0,0,0,0,0,0,0,0
120,0,0,0,1.08,0,0,0,0,1.16,1.42,0,0,0,0,0,0,0,19.37,0,0,0,25.56,0,0,0,0,0,0,0,0,0,0,0,1.66,0
