stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,66.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.47,0,0,0,15.15,0,0,0,0,0,0,0,0,0,0
 10-12,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.81,0,0,0,22.14,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.04,0.95,0.83,0,0,0.95,0,0,0,0,0,0,0,0,2.74,0,0.91,12.83,0,0,2.36,1.53,0,0,3.36,2.14,2.81,12.13,0,0,0,0
 24-34,0,0,6.82,0.6,1.96,0,0,6.13,0,0,0,0,0,0,0,0,1.55,0,1.06,23.32,0,1.98,0,0,0,2.16,0,0,0.8,8.63,0,0,1.63,0
 36-46,0,0.95,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,1.99,4.32,0.89,16.67,0,5.55,0,0,0,3.52,0,0.59,0,0.71,0,0,0,0
 48-58,0,0,3.68,0,9.06,0,0,4.53,0.64,1.19,0,0,0,0,0,0,1.26,0,0.66,21.18,0,3.84,0,0,0,2.08,0,0,0,2.75,0,0,0.39,0
 60-70,0,0,0,0,15.84,0,0,9.85,3.72,0,0,0,0,0,0,0,9.87,0,2.76,30.29,0,2.31,0,0,0,0,0,0,0,3.47,0,0,1.33,1.79
 72-82,0,0,0,0,13.58,0,0,6.28,0.51,0,0,0,0,0,0,0,16.12,0,0,38.19,0,10.85,3.62,0,0,0,0,0,0,2.42,0,0.52,1.66,0
 84-94,0,0,0,0,5.71,0,0,28.7,0.95,0,0,0,0.65,0,5.39,6.9,5.94,0,0,11.82,0,7.09,0,0,0,0,0,0.67,0,5.16,1.53,0,0,0
 96-106,0,0,0.81,0,7.89,0,0,8.62,1.44,0,0,0.63,0,0,0,0,17.89,2.18,0,23.25,0,6.88,0,0,0,3.6,0,0,0,1.96,0,0,1.32,0
108-118,0,0,3.85,0,5.6,0.46,3.33,12.97,2.84,0,0.58,0.68,0,0.74,1.17,3.01,13.46,0,0,34.27,4.46,10.18,2.04,0,1.37,0,0,0,0,1.63,0.48,0,0.51,0.89
120,0,0,1.47,0,3.4,0,0,0,0,0,0,0,0,0,1.42,0,6.95,0,0,40.64,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0
