stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,17.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.05,0,5.14,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.16,9.28,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.66,122.16,123.16,0,36.7,0,0,0,3.07,0,0,0,8.04,0.87,0,0,8.69,263.22,0,0,98.94,173.39,0,0,4.79,0.89,0,9.78,0.84,1.18,8.56,7.43,38.94,0,0,19.54,0,11.95
 24-34,0,0,0.81,2.68,27.79,2.19,0,107.87,0,0.72,1.3,5.54,0,17.93,0,9.7,2.36,0,0,8.85,597.02,6.23,0,193.74,250.56,1.76,1.85,6.6,0,3.9,1,1.59,0.79,17.25,7.14,42.13,0,0,86.4,0,44.66
 36-46,0,0,2.34,0,13.55,0,0,58.03,0,0,9.38,3.01,0,23.64,0,7.06,0,1.9,0,4.91,704.94,0,10.55,162.87,217.54,1.81,0,13.26,0,0,0,0,0.88,14.62,0,25,0,1.04,52.05,0,36.59
 48-58,0.77,0,0,0,7.89,0,0,75.04,0,21.22,25.34,12.02,0,15.94,0,0,4.75,0.4,0,27.82,914.03,7.69,11.49,163.93,200.83,0.83,0.47,11.66,0,1.61,2.08,0,0,4.54,0,42.98,0,4.49,51.87,1.45,71
 60-70,0,0,2.1,0,13.22,1.83,0,75.45,0.58,16.79,15.97,24.06,2.23,10.97,4.06,0,4.9,4.66,8.62,16.65,1128.56,0,17.97,74.15,183.13,3.76,0,5.28,0,30.33,8.87,0,0.59,0.82,0,18.05,0,24.37,69.71,6.76,54.53
 72-82,0,0,0.93,0,12.36,0.64,0,118.35,0.82,12.44,54.3,56.49,3.49,14.59,0,1.58,4.85,10.58,2.73,23.65,1728.64,7.13,57.55,100.92,222.05,0.61,2.59,27.65,0,35.54,0,0,0,0.82,0,17.32,0,44.21,206.13,31.35,138.21
 84-94,0,0,0,0,26.43,2.33,0,169.74,3.56,14.93,32.88,51.29,2.84,15.15,0,4.92,22.82,5.25,1.81,74.52,1352.79,3.68,65.28,53.3,102.95,2.73,1.21,44.29,0,27.78,6.75,0,0,9.98,0,30.29,0,31.25,137.03,30.11,73.58
 96-106,0,0,0,0,32.36,33.02,1.91,120.17,5.5,5.53,28.13,112.06,3.84,17.58,4.66,9.95,17.59,18.59,8.76,19.96,1262.23,28.87,79.87,65.52,228.57,0.96,4.62,32.15,0,79.71,9.97,0,6.5,0.82,0,9.69,0,30.38,192.99,46.42,76.39
108-118,0,0,0,0,28.27,2,0,128.75,15.26,5,44.47,92.83,0.95,9.25,4.34,11.71,66.63,7.83,7.78,28.1,1561.71,4.65,79.34,61.82,203.54,7.29,4.19,42.56,0,80.7,1.5,0,1.97,2.91,0,6.48,0.44,46.47,213.68,54.52,84.62
120,0,0,0,0,41.65,20.1,0,104.14,3.67,44.25,59.52,87.71,3.01,32.1,0,10.68,46.65,14.28,8.24,18.65,1719.1,4.47,109.1,42.48,241.77,6.17,0,47.72,10.96,213.25,4.5,0,0,4.15,0,35.99,0,66.91,306,79.84,14.98
