stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.47,0,0,0,0,0,0,0,0,0
  5-6,30.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.73,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.61,10.48,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.32,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.28,43.2,0,0,34.29,0,7.62,10.02,0,7.48,0,0,0,0,0,0
 14-21,0,0,10.71,0,0,1.79,0,0,0,4.74,0,0,0,0,14.12,0,0,0,2.54,0.93,0,0.91,22.28,0.82,0,0,0,0,559.56,1.58,3.83,4.76,4.39,0,0,0,0,0.84
 24-34,0,0,23.76,0,0,7.19,0,2.03,0,2.65,0.69,0,0,0,32.48,0.96,0,0.8,16.16,4.75,0,5.59,204.99,2.05,31.13,4.44,0,0,2548.27,0,12.51,0,16.31,0,0,4.33,0,0
 36-46,0,0,17.76,0,0,16.53,2.98,12.28,0.65,4.06,0,0,0,6.4,60.32,1.98,0,0,20.26,25.35,0,0.97,294.36,0,62.3,2.62,0,0,4015.82,0,0,0,29.85,0,0,2.7,0,0.67
 48-58,0,0,28.09,0,0,77.25,0,25.63,0.76,18.84,9.49,0,0.51,0,14.67,2.92,0,2.57,47.5,48.58,1.74,3.3,387.66,0,51.76,1.2,0,0,4051.6,0.38,0,0,52.89,0,0,7.89,0,17.63
 60-70,0,0,11.52,0,0,72.57,3.06,8.7,0.87,8.02,0,0,0,1.16,19.05,23.05,0,0.59,27.04,46.68,1.02,1.36,246.56,0,63.99,3.03,0,0,3092.23,0.73,0,0,11.52,0,0,5.67,0,6.29
 72-82,0,0,35.94,1.07,0,68.22,0,11.74,0,4.58,0.72,0,0.66,0,38.19,44.69,0,0,23.77,24.87,4.64,2.88,202.84,1.13,76.81,6.86,0,0,2595.95,0,0,0,8.4,1.16,1.21,0.7,0,7.11
 84-94,0,0,40.79,25.64,0,46.53,0,56.94,3.37,17.89,3.35,0,1.16,0.73,79.8,62.54,0,6.27,34.76,75.01,1.07,1.74,282.51,0,270.31,38.25,0,0,8010.19,0,0,0,0.75,2,0,0.65,0,7.53
 96-106,0,0,101.79,3.31,0,120.07,0,30.96,5.01,23.42,11.62,0,0.61,2.37,122.73,87.5,29.35,0.6,35.47,71.39,3.55,1.68,268.98,0,419.64,28.33,0,2.82,5369.28,0.88,0,0,7.22,6.38,0,2.94,0,11.32
108-118,0,1.39,117.66,7.73,10.13,47.3,1.51,55.47,6.04,24.88,14.78,0,0,1.53,91.55,104.87,5.46,2.89,23.88,89.83,0.69,1.22,169.34,0,298.82,39.22,0,9.92,4870.17,1.25,0.44,0,2.24,6.81,2.05,2.01,4.71,2.81
120,0,0,72.01,0,3.05,44.43,0,35.78,6.7,23.6,11.92,5.2,0,15.87,49.11,37.15,19.69,0,35.17,25.54,16.98,3.16,114.31,0,230.05,18.06,0,0,2481.58,0,0,0,2.14,0,0,26.47,3.69,0
