stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,405.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.68,213.13,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.95,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.03,0,0,34.22,0,0,10.22,0,0,0,0,12.91,0,0,0,0,0,0,0,0,0,0,397.8,46.98,0,0,85.69,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,51.35,0,0,21.34,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,465.72,21.77,0,0,108.36,0,0,0,18.89,0,3.28,0,0,0
 14-21,0,0,2.23,0,16.65,4.35,0,0,0,90.09,0,0,0,0,0,0,0,0,7.75,0,0,1.79,83.33,1.29,7.07,13.41,5.9,0,1.53,0.91,89.08,1.06,284.21,0,0,0
 24-34,0,0,1.6,0.64,8.21,0,7.68,0,0.83,104.22,0,0,0,0,2.27,0,1.61,0,12.99,0,0,2.12,201.99,0.7,65.26,7.97,0,0,0,0,36.63,2.21,220.04,0,0.78,0
 36-46,0,0,0.98,0,2.79,0,29.5,0,0,117.36,0.56,0,0.65,0,0,0,0.66,0,5.79,0,0,1.7,286.62,0,78.62,3.08,0,0,0,0,17.12,0,261.43,0,1.29,0
 48-58,0,0,0,0,2.49,0,25.07,0.79,0,102.54,0,0,0.61,0,0.37,0,1.34,0,13.69,0.5,0,2.27,228.02,0.56,64.03,7.79,0,0,0,0,5.45,0,227.85,0,0.39,2.81
 60-70,0,0,0,0,0.6,0,22.65,0,0.9,117.63,0,0,0,0,0.75,0,0.88,0,2.48,0,0.75,0,181.19,0,73.28,16.95,0,0,0,0,8.78,0,156.94,0,2.82,0
 72-82,0,0,3.2,0,0.55,1.46,10.34,1.27,0,88.22,0,0,0,0.52,1.39,0,9.61,0,14.18,0,0,0,185.96,0,72.05,10.36,0,0,0,0,5.15,0,83.69,1.16,4.78,0
 84-94,0,0,6.36,0.59,2.07,1.45,35.09,0.86,0,91.38,0.56,0,0,3.2,3.51,0.66,3.29,0,1.56,0,1.87,0,117.85,0,79.86,11.36,0,0,0,0,4.97,0,64.22,0,1.82,0
 96-106,0,0,0,0,1.01,0,4.68,0,0,80.2,0,0,0,3.08,2.12,0,11.05,0,3.79,0,0,0,43.08,0,87.38,15.45,0,2.81,0,0,4.71,0,29.21,0,0.89,0
108-118,0,0,0.92,0,4.83,0,22.79,0,0,75.31,1.11,0,0,5.45,0.65,5.25,9.07,3.87,1.11,0,0,1.21,118.48,0,80.36,18.28,0,0,0,0,3.71,0,43.3,0,0,0
120,0,0,0,0,2.79,10.93,27.5,0,0,44.17,1.79,0,0,2.03,1.63,0,20.42,0,23.24,0,0,0,117.95,0,70.91,35.07,0,0,0,0,8.52,0,30.41,0,0,12.32
