stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,178.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0,0
  5-6,0,362.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81,0,0,0,0,0,0,0,0
  7-9,7.8,7.66,21.45,0,0,42.5,0,0,0,0,8.58,0,0,0,0,0,0,0,0,0,277.83,13.45,0,0,99.66,0,3.63,14.53,0,0,0,0,0,0,0
 10-12,0,9.43,14.61,0,0,12.68,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,306.92,20.61,0,0,96.82,0,0,0,0,7.33,0,0,0,0,0
 14-21,0,0,0,6.17,0.96,0.82,0,0,0,0,0,0,0,0,0,0,0,3.99,0,0.91,39.66,0,0,0,9.35,0,0,0,4.3,0,5.29,10.51,0,0,0
 24-34,0,0,0,3.02,0,5.39,0.85,0,1.45,0,0,0,0,0.72,0,0,0,10.1,0,1.75,91.5,0,0.95,0.62,0,0,2.76,0,0,0,2.33,27.31,1.61,0,0
 36-46,0,0,0,2.37,0,7.75,0,0,1.23,0,0,0,0,0.77,0,0,0,10.88,0,7.22,110.96,0,1.21,0,0,0,5.42,0,0,0,0,17.77,0,0,0.68
 48-58,0,0,0,0,0,20.95,0,0.42,4.75,0.64,0,0,0,0,0,0,0,24.56,0,1.97,88.38,1.45,2.76,0,0,0,0.97,0,0,0,0,28.34,0,0,0
 60-70,0,0,0,0,0,67.25,0,0,0.67,0,0,0,0,0,0,0,0,21.03,0,0,112.26,0,0,0,0,0,1.89,0,0,0,0,38.42,0,0,7.93
 72-82,0,0,0,0.67,7.19,54.48,0,0,6.91,0,0,0,0,0,0,0,0,23.34,0,0,108.66,0,4.15,0,0,0,0,0,0,0,0,14.48,0,0.85,0
 84-94,0,0,0,2.08,8.54,28.64,0,3.82,7.69,0,0,0,0.78,0,0,0,0,15.71,1.17,1.41,59.06,0,0.89,0.69,0,0,2.05,0,0,0,0,13.71,1.45,1.36,0
 96-106,0,0,0,2.81,16.17,29.09,0,0.75,8.97,0.6,0,1.64,0.74,0,0,0,0,14.01,1.46,2.3,61.06,0,0.58,0,0,0,2.21,0,0,0,0,2.85,3.21,1.16,0
108-118,0,0,0,2.69,0.88,52.28,0,1.88,10.87,1.94,0,0,0,1.07,2.65,0.72,0,16.52,0,2.04,144.31,0,0,0.92,0,2.78,0.56,0,0,0,0,9.68,0.72,0,0
120,0,0,0,17.44,4.91,34.77,0,0,0,0,0,0,0,0,0,0,1.67,2.84,0,0,138.04,0,0,9.31,0,0,5.58,0,0,1.21,0,1.74,0,0,0
