stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,67.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
  5-6,6.94,105.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,9.66,7.19,0,0,11.7,0,0,10.19,0,0,0,0,0,108.87,0,0,38.46,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.49,0,0,5.17,0,0,0,0,0,0,0,0,73.87,0,0,45.98,0,4.05,0,8.87,0,0,0,0,0
 14-21,0,0,0.98,4.82,0,2.79,0,0.82,0,0,1.02,0,0,0,22.45,0,0,0.96,0,0,3.12,0,1.08,1.8,21.95,0,0
 24-34,0,0,0,1.3,0,1.36,0,1.54,0,0.65,4.08,0,0,1.85,49.66,0,0,0,0,0,0,0,0,0.67,11.26,0,1.55
 36-46,0,0,0,0,0,3.03,0,2.13,0,0,6.08,0,0,0.75,52.57,0,0,0,0,0,0,0,0,0,4.32,0,0
 48-58,0,0,0,0,0,14.87,0,1.83,0,0,2.07,0,0,0.4,35.9,0,0.69,0,0,0,0,0,0,0,7.2,0,0.62
 60-70,0,0,0,0,0,19.62,0,10.22,0,0,1.16,0,0,0,54.46,0.98,0,0,0,0,0,0,0,0,2.42,0,0
 72-82,0,0,0,0,0,20.26,0,2.22,0,0,5.55,0,7.56,1.4,12.16,0,0,0,0,0,0,0,0,0,1.28,1.01,0
 84-94,0,0,0,1.18,0,11.1,0,0.87,0,0,7.95,0,0,0,18.66,0,0,0,0,1.56,0,0,0,0,3.38,0,3.23
 96-106,0,0,0,0,1.07,5.26,0,1.81,0,0,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,1.13,0,0
108-118,0,0,0,0,0,7.99,0,0,0,0,3.57,0,0,0,8.12,0,0,0,1.33,0,0,0,0,0,0,0,0
120,0,0,0,0,0,21.09,3.18,0,0,0,6.21,2.14,0,0,13.01,0,0,0,0,0,0,0,0,0,10.44,0,0
