stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,342.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.12,466.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,0,11.31,0,0,0,0,0,0,0,0,0
  7-9,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.19,0,0,0,173.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.92,5.33,0,0,604.76,3.81,4.61,0,0,0,0,0,0,0,0
 14-21,0,0,1.36,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0,0.86,0,7.46,0,2.02,2.95,0,0,0,0,0
 24-34,0,0,1.77,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,22.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.22,0,1.08,0,0,0,0,0,0,0.72,0,0,0,0,0
 48-58,0,0,0,4.79,0,6.97,0,0,0,4.15,0,0,0,0.43,0,0,2.51,0,0,1.68,228.46,0,0,6.68,0,0,0,0,0,6.03,0,0,0.41,0,3.19
 60-70,0,0,9.26,5.01,0,28.52,0,0,0,68.26,0,0.72,0,7.88,2.85,0,8.05,0,0,0,843.16,0,0,15.2,0,0,0,0,0,5.91,13.17,1.5,0,0,9.01
 72-82,0,0,6.28,33.05,0,121.65,0,1.99,0.75,124.16,0,2.22,8.14,18.65,15.69,0,30.8,0,1.11,3.52,2082.74,0,6.32,10.11,0,0.97,0,0,0,4.66,74.48,0,0,0,0
 84-94,0,0,17.93,54.25,0,138.43,0.68,0,1.43,87.6,1.91,0,0,5.28,4.95,7.22,11.8,6.36,0,0,1359.35,0,1.05,56.31,0,2.71,0,0,0,5.73,148.73,0,0,1.97,0
 96-106,0,0,29.69,153.42,0,186.82,0,15.66,0,104.48,2.36,2.49,0.87,3.88,29.02,6.49,10.22,0,0,1.78,1883.54,0,6.54,83.39,0,19.02,0,0,0,32.31,207.64,0,3.2,0.59,11.5
108-118,0,0,67.15,46.96,0,168.84,0,0.95,3.79,174.77,5.07,0.54,0,1.48,14.27,2.5,14.4,0.54,0,2.02,3507.73,0,1.52,37.38,0,4.26,0,0.94,0,3.01,175.34,0,0.97,0.57,0
120,0,0,55.26,0,15.97,295.53,0,4,39.5,228.15,9.54,12.35,0,0,19.63,5.48,43.58,2.98,0,1.62,4109.22,7.98,3,90.84,0,0,0,0,0,2.39,107.43,0,0,0,0
