stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,23.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.09,0,0,0,0,1.23,0,0,0,0,0,0,0.9,0,0,31.22,0,0,0,0,0,2.75,0,0,0,0,0
 24-34,0,0,0.61,0,3.67,0,19.57,0,0,0,0,0,0,0.75,0,0,363.46,0,0,0,0,0.97,0,6.31,0,0,0,0
 36-46,0,0,0,0,4.47,0,42.46,0,0,0,0,0,0,2.12,0,0.66,860.34,0,0,0,9.68,0,0,4.36,0,0,0,0
 48-58,0,0,9.73,0,140.48,0.46,43.92,0,0,0,0,2.18,1.87,19.2,1.2,7.18,1729.4,0,1.53,0,5.37,0,0,97.58,0,0,1.49,6.81
 60-70,0,0,5.28,0,363.61,0,22.9,0,0,0,0,0,0,19.53,0,0,1569.43,0,1.16,0,3.56,0,0,233.21,0,0,0,2.28
 72-82,0,0,9.74,4.2,518.4,2.65,68.11,0,0,0.93,0,0,0,15.09,0.51,3.57,1389.09,0,0,1.42,0.81,0,0,221.56,0,1.45,2.17,5.3
 84-94,0,0,9.89,7.54,393.01,1.27,41.52,0.76,1.56,3.68,0,0,0,12.83,0,0,1078.1,0,0,0,3.08,3.17,0,178.84,0,0,1.26,0
 96-106,0,0,1.54,0,266.76,3.29,20.84,0,0,5.41,0.92,4.2,0,2.66,0,0,802.87,0,0,0.56,7.21,0,0,36.83,0,0,6.42,0
108-118,0,0,9.46,0.72,324.55,0,19.38,0,0,0,0,2.12,0.59,8.12,0,0.42,1147.74,0.8,0,2.78,4.96,0,0,29.58,0.54,0,0,0
120,0,0,8.3,0,280.47,0,31.95,2.93,6.06,0,0,0,0,4.88,0,7.06,1601.82,0,11.19,0,3.41,0,0,20.83,0,0,0,0
