stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,33.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,29.44,0,0,0,0,103.36,0,0,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,251.89,4.4,0,0,11.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,36.58,0,0,20.22,0,0,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,631.61,29.91,0,0,11.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,44.41,1.94,13.43,0,0,0,0,18.02,0,0,0,0,0,0,0,19.26,0,0,16.47,5850.31,7.02,0,0,19.93,0,2.71,9.25,0,0,5.49,401.84,0,0,0,0,0
 24-34,0,0,0,0.79,11.09,3.78,31.06,0,0,1.53,76.66,1.27,0,0,0,0.74,0,0,0,21.41,0,0,11.5,9710.14,0,2.51,1.84,0,0,14.3,0,0,6.89,1.46,1884.77,0,0,5.52,0,1.72
 36-46,0,0,0,0,24.76,0,115.36,0.64,0,0,1029.69,0,0,0.56,7.13,0,0,0.67,0,33.9,0.68,0,5.21,12665.59,1.59,3.47,0.8,0,0,22.54,0,0.7,0,0,3677.24,0,0,0.93,0,4.9
 48-58,0,0,0,0,3.66,0,122.1,0,0,0,1449.04,0,0,0,1.16,0,2.3,0,0,10.47,0,0,6.55,3876.39,0,3.51,0,0,0,3.96,0,0,1.7,0,1264.52,0,0,0.93,0,7.66
 60-70,0,0,0,0,0,0,74.12,0,2.33,0,1144.49,0.79,0,0,2.4,0,0,0,0,5.46,3.03,0,3,2233.03,0,0,0,0,0,1.64,0,19.75,0,0,302.84,0,0,0,0,18.64
 72-82,0,0,0,0,3.92,0.84,108.75,0,0,0,690.87,0.81,0,0,0.63,0,0,0,0,9.09,0,0,0.71,1529.88,0,0,0,0,0,1.09,0,0,0,0,13.89,0,0,0,0.78,8.51
 84-94,0,0,0,0,9.65,0,132.26,0,0.63,0,429.35,0,0,0,0.77,0,0,0,0,18.32,0,0,0,1206.99,4.17,0,0,0,0,0,0,2.32,0,0,25.22,0.55,6.17,0,0,0
 96-106,0,0,0.83,0,9.15,9.35,68.69,2.98,0,7.24,621.88,0,0,0,0.77,0,0,0,14.54,18.57,0,5.07,0,953.32,29.62,0.89,0,0,0,6.7,0,0,0,0,3.8,0,0,0,0,0
108-118,0,0,0,0,8.82,0,41.84,0,0,0,450.89,0,0,0,0,2.81,0,0,4.07,6.4,0,0,1.02,1491.22,1.07,0,0.48,0,1.33,3.16,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,12.83,0,112.82,0,2.56,0,703.29,0,0,0,1.01,0,0,0,0,6.87,0,0,0,1542.39,0,13.05,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0
