stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,iridophores,mesenchyme,neural,notochord,otic,pericytes,periderm,pronephros,spinal.cord
  3-4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.23,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,29.55,0,0,0,0,0,2.91
 24-34,0,0,0,1.72,1.87,0,0,0,0,309.89,0,0,0,0.8,0,62.01
 36-46,0,0,0,4.28,24.67,0,0,0,0.58,298.08,0,0,0,0,0,61.49
 48-58,0,1.73,0,3.63,26.34,0,0,0,3.28,194.62,0,0,0,0,2.28,45.35
 60-70,0,0,0,11.16,34.5,0,0,0,9.21,103.43,0,0,0,0,0,21.13
 72-82,0,0,0.58,13.24,31.61,0,0,4.27,16.74,106.43,0,2.54,0,0,0,0.98
 84-94,0,0,0,8.87,14.62,0,0,0,3.73,56.17,3.47,0,0,0,0,8.33
 96-106,0,0.78,0,11.25,18.1,0.98,0,0,21.31,79.02,0,0,1.6,0,0,11.49
108-118,0,2.91,0,17.17,33.33,0,0,0,12.58,61.11,0,0,0,0,0,0
120,0,1.07,0,22.12,61.8,0,0,0,11.98,75.33,0,0,0,2.32,1.12,0
