stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.76,4.1,0,0,8.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.52,68.14,1.22,0,0,1.44,0,0,4.15,0.81,0,0,0,0,0,0,22.48,1.19,0,0,6.54,0,0,0,0,0,2.1,0,0,0,0,0,1.49,0,0
 24-34,0,2.97,71.7,0,1.29,0,22.08,0,7.02,2.72,0,0,0,0,0,0,0,83.13,0,0,4.71,36.65,0,0.77,0,0,0,8.4,4.05,0,3.18,0,0,5.02,0,0
 36-46,0,0,37.64,0,3.11,0,14.39,0,16.2,0,0,0,0,0,0,0,1.22,229.74,0.87,2.43,12.62,14.97,0,1.37,0.63,0,0,16.06,0.72,0,2.68,0,0,2.91,0,0
 48-58,0,0,16.63,0,7.04,0,17.09,4.51,46.6,0,2.31,0,0,0,0,0,0.56,517.64,0,0,23.84,38.62,0,2.58,6.73,0,0,1.3,2.01,0.9,25.41,0,2.16,0.71,0,0
 60-70,0,0,30.54,0,16.66,0,14.27,5.92,216.31,0,0,0,0,0,0,0,0,938.87,0.74,0.98,24.8,43.5,0,0,0.89,0,2.55,0,0,0,20.97,0,20.79,0,2.04,3.74
 72-82,0,0,32.26,1.6,23.62,0,10.89,10.44,228.25,0,0,0,0,0.79,0,0,0,1341.08,1.19,5.86,24.73,36.33,0,0,6.97,0,8.19,0.59,0,0,15.77,0,10.93,7.1,6.01,0
 84-94,1.42,0,68.93,0,57.73,0,21.84,20.2,121.95,0,0,0.7,0.6,0,0.73,0,0,1113.22,0,10.16,14,30.82,4.02,1.05,10.29,0,0.77,0.56,0.7,0,8.45,0,8.3,2.56,5.19,0
 96-106,0,0,43.43,6.01,40.72,0.64,5.56,3.68,117.13,0,0,0.63,0,0,0,4.21,0,1152.14,3.97,2.83,7.89,45.94,0,0,2.71,0,5.56,0.58,0.7,0,2.27,0,19.68,3.12,0,0
108-118,0,0,62.33,0,10.19,0,10,1.26,92.15,0.86,1.81,0.75,0.49,0,0,0,0,1060.65,0,0,14.85,56.67,0,0,2.62,0,7.62,0.6,0,0,1.14,1.01,14.28,1.14,2.93,0
120,0,0,46.01,0,17.83,0,7.68,0,81.2,0,0,3.81,0,0,0,0,0,761.16,0,0,3.96,78.86,0,0,1.8,0,10.01,0,0,0,0,0,0,2.98,16.16,0
