stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.26,0,0,0,0,0,0,0,0,0
  7-9,9.84,5.28,0,0,19.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.36,10.3,0,0,25.4,0,85.75,0,0,0,0,0,0,0,0,0
 10-12,27.21,0,0,0,12.47,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,243.86,17.88,0,0,93.69,0,74.01,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.89,0,0.85,0,0,0,0,0,0,0,0,2.13,0,0,0,4.23,1.09,0,6.78,22.98,0,0,0.88,1.3,0,481.27,3.98,0.86,1.75,14.19,0,0,0,0,0
 24-34,0,0,2.01,0,10.01,0,0,0,4.12,0.64,0,2.52,0,0,0,0,0,23.04,2.32,0,7.46,125.88,6.87,0,0,0,0,1632.17,0,0,2.88,14.29,0,0,12.19,0,2.07
 36-46,0,0,2.06,0.9,11.33,0,28.53,0,9.8,0,0,0,0,7.59,0,0,3.35,14.15,5.08,0.77,1.04,96.95,0,0,0,0,0,1894.74,0,0,0,21.7,0,0,1.74,0,0
 48-58,0,0,5.69,0,17.24,0.51,8.74,0.44,14.89,0,0,5.13,1.17,0.52,0,1.48,13.37,20.69,7.16,0,1.61,104.73,0,1.06,0.82,0,0,1539.07,0,0.4,0,16.67,0,0,0,0,1.34
 60-70,0,0,1.38,0,38.49,0,5.82,0,10.54,0,0,0,0,2.04,0,0,0,23.33,3.95,4.4,5.52,53.29,0,0,0,0,3.93,764.48,0,0,0,10.45,0,0,0,0,0
 72-82,0,0,9.15,0.56,27.75,0.6,0.56,0.58,15.3,0,0,0,0,2.31,2.21,0,0,33.72,2.63,2.74,5.28,29.76,0.66,0,0,0,0,332.65,0,0,0,13.91,1.16,0,3.43,4.52,0
 84-94,0,0,2.08,1.17,11.5,0,5.62,0.64,9.5,0,0,0,0,23.2,0,0,0,35.72,9.08,0,1.51,42.43,0,0,1.3,0,0,962.01,0,0,0,5.57,4.42,0.75,0,0,0
 96-106,0,0,21.84,0,39.36,0,2.01,6.55,18.32,0,0,0,1.61,3.72,0,3.35,0,24.49,5.74,3.47,3.86,41.01,1.02,1.68,0.57,0,0,573.87,0,0.67,0,8.84,0,0,1.36,5.11,0
108-118,0,0,15.51,5.11,15.27,0,2.14,2.19,10.46,0,0,0,2.3,4.59,2.55,0,0,18.02,3.15,2.61,2.7,28.48,0,0,1.33,0,0,542.25,0,0.84,0,4.74,0,0.77,2.7,0.83,0.46
120,0,0,11.04,0,23.36,0,3.04,0,27.79,0,0,0,0,1.81,2.05,0,0,27.88,1.47,8.42,1.86,112.09,0,0,0,0,0,301.7,0,1.21,0,0,0,0,5.77,2.94,0
