stage,axial,blastomeres,endoderm,eye,mesenchyme,neural,notochord,paraxial.mesoderm
  3-4,0,30.66,0,0,0,0,0,0
  5-6,0,9.47,0,0,0,25.93,11.17,0
  7-9,7.58,0,10.99,0,0,19.19,0,32.83
 10-12,0,4.21,0,11.69,0,15.28,0,7.9
 36-46,0,0,0,0,0,0.67,0,0
 72-82,0,0,0,9.5,0,3.56,0,0
 96-106,0,0,0,5.51,1.49,0,0,0
120,0,0,0,18.21,7.61,0,0,0
