stage,blastomeres,epidermis,eye,fin.epithelia,gut,immune,ionocyte,lateral.line,liver,mucous,neural,periderm,xanthophores
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1,0,0,0,0,0,0,0,3.07,0,2.82,0
 36-46,0,0,0,0,0,0,0,0,0,2.98,0,7.83,0
 48-58,0,0,0,5.89,0,0,0,0,0,6.24,0.75,4.98,0
 60-70,0,0.6,0,0,0,0,8.53,0,0,5.57,0,14.98,0
 72-82,0,0,0,0.7,0,0,0,0,2.67,9.24,1.16,0,0
 84-94,0,2.9,0,0,3.77,0,1.07,0,0.57,12.12,0,16.43,0
 96-106,0,1.54,2.74,0.66,2.5,0,1.25,0.75,2.33,20.97,0.97,0.58,0
108-118,0,1.67,0.45,1.11,2.54,1.15,0.43,0,5.8,15.33,0.76,5.17,1.66
120,0,1,0,0,4.47,0,2.26,0,0,10.57,5.06,9.96,0
