stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.1,6.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.08,0,0,0,0,0
  7-9,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0,9.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04,0,0,0,0,2.2,0,0,0,0,0
 24-34,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,1.44,0,2.6,11.03,0.59,0,2.63,0,0,0,0.96,0,0,0
 36-46,0,0,0,0,0,2.94,0,0,0,1.05,0,0,0,0,0.58,0,3.69,4.71,0,0,0,0,0,0,3.26,0,0,0
 48-58,0,0,0,0,0,1.95,0,7.39,0,0,0,0,0,0,4,0.81,2.85,6.79,0,0,0,0,0,0,1.41,0,0.61,0
 60-70,0,0,0,0,0,5.79,0,0,0,0,0,0,0,0,7.82,1.64,4.85,13.18,0,0.84,1.26,1.19,0,0,0.96,0,2.16,0.87
 72-82,0,0,0.95,0,0.71,3.33,0,0,0,3.42,0,0,0,0,21.95,1.78,6.05,8.86,1.92,0,11.46,1.83,0,2.68,0.95,3.09,2.52,1.58
 84-94,0,0,0,0,0,1.14,0,0,0,0,0,1.75,0,1.12,9.7,1.88,3.54,19.28,0,0,14.85,2.02,0,0,0.8,3.59,2.4,0.77
 96-106,0,0,2.86,0,0,12.86,1.1,0,0,0,0.78,0,0.66,0,25.11,3.04,0.56,17.28,0.79,1.19,15.19,6.03,0,0,4.37,1.5,0,3.94
108-118,0,0,2.9,0,0,7.53,2.07,2.61,0.45,0,3.33,0,0,0.54,8.64,9.01,2.74,9.37,1.42,0,20.4,9.2,0,0,0,2.27,4.3,1.09
120,0,0,0,1.81,0,2.19,0,0,1.12,0,0,0,0,0,12.7,0,0,0,0,0,28.16,5.9,0,0,7.55,2.93,7.78,0
