stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,72.97,1753.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.75,0,0,0,0,0,0,0,0,0,0
  5-6,0,348.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.89,0,0,0,13.16,0,0,10.21,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.31,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,59.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,25.44,10.01,1.55,2.96,0,0,8.81,0,4.59,0,0,8.29,0,0,0,0,0
 24-34,0,0,0,1.44,69.09,0,0,2.4,0,17.7,0,2.69,0.79,0.93,0,1.85,0.64,0,0,0,0,10.85,0,0,9.4,238.46,1.5,41.61,10.58,0,0,11.46,0,0,0,0.78,64.4,0,0,0.98,0,0
 36-46,0,0,0,0,39.19,0,0,26.27,0,11.07,0,0,0,2.37,0,0,0,0,1.96,0,2.7,0,0,0,0.74,614.96,0,71.78,5.94,0,0,0,0,0,0,0,180.56,0,0,0.71,0,0
 48-58,0,0,0,0,33.05,0.48,0,205.24,0,19.58,0.4,16.6,0.38,3.33,0,0,0,0,0.85,0,0,9.81,0,0,0.52,1301.75,0,40.35,8.49,0,0,1.25,0,0,0,0,230.4,0,0,0.88,0,2.85
 60-70,0,0,0,0,45.34,0,0,816.53,1.47,18.42,1.55,33.57,3.62,0,0,0,0,0,6.39,0,0,11.02,0,0,0.79,1966.97,0,43.8,2.95,0,1.08,1.74,0,0,0,0,248.05,0,0,4.09,0,2.76
 72-82,0,0,0.5,0,49.05,9.67,0,1560.87,0,6.46,0.61,54.07,3.33,2.11,0,2.57,1.73,3.7,4.36,1.08,0,34.32,1.79,0.93,0,1931.78,4.74,73.38,13.91,0,0,1.89,0,0,0,0,146.67,0.51,0.96,3.62,0,20.36
 84-94,0,0,0,0,49.03,8.44,0,1413.76,0,16.98,0.77,40.07,4.95,1.95,0,0,6.23,0.81,2.4,1.49,7.23,24.12,0,1.03,2.93,1413.85,1.25,72.68,8.52,0,0,12.05,0,0,0,0,66.33,6.34,2.41,2.06,3.53,0.8
 96-106,0,0,0,0,47.35,13.66,0,1213.09,0,13.02,1.07,54.05,13.24,0,0,0,0,0,7.62,0,0,21.54,0.71,0,1.28,1055.27,0,84.2,12.53,0,0,10.2,0,0,0,0,21.35,2.18,0,2.59,3.11,0
108-118,0.67,0,0,0,99.69,9.61,2.51,1141.02,0,12.73,2.77,54.39,14.17,0,3.28,0,3.68,2.23,10.95,6.77,0,49.09,1.2,0,2.01,1371.06,0.81,53.45,12.03,0,0,4.28,0,0,2.37,0,16.59,10.26,0,0.99,1.61,0.43
120,1.12,0,0,0,79.98,2.34,0,1038.71,0,8.16,0,58.22,27.55,0,0,10.33,0,18.55,1.11,9.6,0,43.55,1.13,13.12,0,1660.31,4.03,141.63,4.12,0,0,2.1,0,0,0,0,14.02,6.45,0,0,0,0
