stage,glial,lateral.line,mesenchyme,neural,spinal.cord
 24-34,0,0,0.73,1.04,0
 48-58,0,0,0.46,4.39,0
 60-70,0,1.22,0.72,3.3,1.24
 72-82,0,0,0,5.13,0
 84-94,1.03,0,0.67,1.9,0
 96-106,0,0,0,9.21,0
108-118,0,0,1.46,0.95,0
120,0,0,0,4.1,0
