stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,188.66,0.92,0,1.96,0,0,0,0,3.5,0,2.19,0,0,0,0,0,0,28.42,0,0,14.51,95.88,12.02,0,0,3.24,0,1.88,0.83,0,1.4,34.62,0,0,0,0,0
 24-34,0,0,1.44,1.28,0,0,3.8,0,0,0,0.63,0,0,0,6.32,0,0,0,0,0,2.91,0,0,0.76,497.74,0,9.35,0,0,0,1.27,0,0,0,99.5,0,0,2.37,0,0
 36-46,0,0,0,5.52,0,0,19.65,0,0,0,3.02,0,0,0,2.72,0.65,0,0.57,0,0,0.99,0,0,0.61,1093.76,0,24.8,0,0,0,1.37,0,0,0,269.92,0,0,2.39,0,4.61
 48-58,0,0,0.51,2.45,0.69,0,100.07,0,0,0.64,7.48,0,0,0,0,0,0,0,1.98,0,6.79,0.53,0,5,1965.84,0,2.86,7.88,0,0,3.48,0,0,0,325.4,0,0,0.56,0,2.75
 60-70,0,0,0,2.42,0,0,163.99,0,7.34,0,37.02,1.2,0,0,0,0.61,0,0,0,6.25,19.61,0,0,9.12,2857.54,0,15.07,1.01,0,0,5.85,0,0,0,481.42,0,0,0,0,18.68
 72-82,0,1.45,0,10.14,3.73,0,224.22,0,0,1.72,27.3,0.7,2.07,1.42,0.59,0,0,0,0,0,29.41,0,1.31,2.51,3630.59,0,3.47,6.97,0,0,5.81,0,0,0,502.22,0,0,0,2.71,16.32
 84-94,0,1.15,0,13.09,2.44,0,207.14,1.27,0.56,1.18,30.01,1.87,0,1.02,0,0,2.64,0,0,0,24.49,0,1.32,8.32,2543.54,0.6,3.07,2.56,0,0.79,8.57,0,0,0,293.14,0.9,4.45,2.65,1.9,0
 96-106,0,2.62,0,19.52,14.24,0,160.59,0.57,0,0,25.65,4.88,0,1,10.25,0.77,6.18,2.77,12.89,0,35.79,0,2.73,0.92,2403.52,0,11.63,6.05,0,1.64,6.34,0,0.62,0,216.02,1.13,0,1.51,3.03,0
108-118,0,4.9,0,25.8,1.09,3.39,163.79,0,0.52,3.26,38.55,5.4,0,0,0,0,11.27,0.9,6.27,0,31.33,0,2.45,5.04,3096.18,0.56,6.61,1.71,0,1.6,5,0,1.25,0,142.79,2.7,0,1.93,0,0
120,0,0,0,24.13,17.42,0,310.99,0,8.57,0,43.08,4.97,0,0,6.19,1.65,3.12,3.39,0,0,45.7,0,0,0,4398.26,11.77,21.1,4.8,0,0,0,0,3.07,0,288.82,1.63,0,6.38,0,0
