stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,17.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,35.22,9.01,0,0,5.15,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,14.24,0,0,0,0,0,0,0,0
 14-21,0,0,3.6,1.96,2.03,0,0,0,0,0,0,0,1.79,2.21,18.89,1.42,0,1.09,0,0,1.76,0,1.03,1.97,0,0,0
 24-34,0,0,0,0,5.3,0,0,0.7,0,0,0,0,0,0.85,48,0,0,0,0,0,0,0.7,1.16,8.93,0,1.83,2
 36-46,0,0,0,0,15.55,0,0,0,0,0,0,0,4.35,1.22,59.36,0,0,0.61,0,0,0,0,0,6.37,0,0,0
 48-58,0,0,0,0,17.86,0,0,2.22,0,0,0,0,3.35,0,59.64,0,0,0,0,5.55,0,0,0,11.96,0,0,0
 60-70,0,0,5.63,0,27.09,7.02,0,18.48,0,0,0,0,1.56,1.13,47.43,0,0,0,0,0,0,0,0,4.52,0,0,0
 72-82,0,0,0,0,19.44,0,0.62,1.07,0,0,0,0,7.82,0.67,36.84,0,0.67,0,0,0,0,0,0,4.28,1.97,0,0
 84-94,5.55,0,0.6,5.02,21.71,0,1.89,5.5,0,0,0,0,0,0,40.12,0,0,0,0,2.53,0,0,0,1.92,0,0,1.29
 96-106,0,0,2.28,1.96,3.75,0,0,4.23,0,0,0,0,1.34,3.48,1.13,0,0,0,0,2.06,0,0,0,0,0,0,0
108-118,0,0,1.91,0.56,9.73,0.43,1.47,7.65,0,0,1.11,0,2.7,0,43.55,0,0,0,0,2.04,0,0,0,4.32,0,2.21,0
120,0,0,8.8,0,10.87,0,0,22.83,5.69,0,3.47,17.89,18.47,10.8,124.53,0,0,1.61,0,0,0,0,0,0,0,2.97,0
