stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,24.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,14.5,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,8.1,3.81,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.76,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,22.32,2.36,0,0,0,1.65,23.72,0,1.64,0,0
 24-34,0,0,0,0,2.52,0,20.1,0,0,5.78,0,1.37,2.67,0,0,0,0,0,0.74,0,0,0,400.46,16.03,0,0,0.6,0,105.97,0,4.24,0,0
 36-46,0,0,0,0,1.66,0,95.98,0,2.64,23.48,0,0.73,0,0,0,0.68,0,0,8.22,0,0.89,0.6,1074.33,27.69,0.62,0,4.45,0,252.69,0,3.46,0,0
 48-58,0,0,0.59,0,1.64,0,229.83,0,1.15,92.18,0,0.64,0.52,0,0,0,0,0.5,9.85,0.7,0.43,13.16,1301.09,10,0,0,1.87,0,334.23,0,3.17,0,1.46
 60-70,0,0,0.82,0,0.68,0,387.03,3.41,0,101.29,0,0.87,0.72,0,0,3.85,0,0,16.6,0,0,0,1074.81,5.43,1.72,0,8.2,0,269.79,0,0.79,0.71,1.17
 72-82,0,0,2.27,0,4.67,0,308.67,0,0,101.97,0.73,0,1.35,0,0.57,0.53,0,3.96,16.22,0,0,1.81,1118.62,11.02,0.88,0,3.47,0,219.1,0.91,5.72,0,3.38
 84-94,0,0,1.01,0,10.33,2.44,219.12,0,1.21,96.73,0,0,2.96,0,0,1.32,0,5.22,14.65,1.21,0,1.53,621.46,19.32,0,0,10.33,0,120.56,0,2.87,0,0
 96-106,0,0,0,0,3.67,1.73,134.53,0,0,65.42,0,1.55,0,1.12,0,1.71,0,0,18.97,0.67,5.65,2.08,593.74,11.48,1.45,0,11.29,0,60.69,0,4.43,0.69,0.69
108-118,0,0,0,0,7.46,2.72,144.5,0,0,51.09,0.45,0,1.2,0,0,0,5.97,0,12.07,0,0,0.91,537.8,6.82,0,0,7.21,0,20.38,5.48,9.25,0,0
120,2.37,0,0,0,1.69,0,92.2,0,0,55.64,1.68,0,9.31,0,0,0,5.29,0,4.22,0,0,0,479.67,11.82,1.33,0,1.68,0,38.14,0,0,0,0
