stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,visceral.smooth.muscle
  3-4,18.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,8.29,0,0,0,0,0,0,0,0
 36-46,0,0,0,2.21,0,0,0,0,0,0,22.71,0,0,0,0,1.34,0,2.26,0
 48-58,0,0,0,0.4,0,1.15,0,0,0,0,67.94,3.49,0.37,0,0,0,0,0,0
 60-70,0,0,0,30.15,0.76,0,0,0,0,0,193.1,0,2.03,0,0,0,0,0,0
 72-82,0,0.8,0.51,28.52,0,1.33,0.71,0,0.73,1.64,164.35,0,0,0,0,0.97,0,0.84,0
 84-94,0,0.72,8.63,24.95,0,1.79,0,0,2.75,0,189.9,0,0,0,4.11,0,0,4.25,0
 96-106,0,0,0,44.47,0,1.06,0,0.8,2.03,0,185.24,0,0,0,0,0,0,8.15,0.61
108-118,0,3.32,0,20.36,0,4.89,0.6,4.21,0.96,0,199.87,0,0,0,0,0,0,0,0
120,0,0,0,12.54,0,0,0,0,5.23,0,372.57,0,0,4.59,0,0,0,0,0
