stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,244.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.29,1348.03,0,10.26,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,178.73,18.2,0,0,46.41,0,17.4,0,0,0,0,0,0,0
  7-9,13.28,10.02,0,28.49,0,0,97.69,0,0,0,0,37.1,0,0,0,0,0,0,0,0,0,0,381.76,0,0,0,226.66,0,0,0,0,0,0,0,0,0
 10-12,0,18.89,0,79.73,0,0,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.68,3.15,0,0,139,0,0,0,20.81,0,0,0,0,0
 14-21,0,0,0,1.36,40.7,5.36,15.8,0,0,0.98,1.28,4.05,0,0,0,0,0,0,11.33,0,0,5.6,94.2,0,2.21,6.42,4.36,0,2.14,18.47,0,9.76,15.11,0,0,0
 24-34,0,0,0,0,9.25,0,3.3,0,0.99,0,0.59,0,0,0,0,0,0,0.61,11.11,0,0,1.4,38.37,0,1.04,1.58,0,0,7.88,0,0,2.14,8,0,7.17,0
 36-46,0,0,0,0,0,0,3.24,0,0,0,0,0,0,0,9.55,0,0,0,2.49,0,0,1.95,6.73,0,1.3,0,0,0,0.56,0,0,0,0,0,0,0
 48-58,0,0,0,0,8.06,0,2.74,0,0,0,0,0,0,3.44,0,0,0,0,1.87,0,0,0,27.97,0,0.76,8.4,0,0,6.99,0,0,0,1.37,0,0,0
 60-70,0,0,0,0,0.77,0,23.99,0,0,0,6.16,0,0,0,0.62,0,0.83,0.81,2.86,0,2.08,3.03,35.41,0,1.76,3.31,0,0,5.67,0,0.85,0,1.33,0,0,2.18
 72-82,0,0,0,0,5.56,0,23.99,1.59,0,0,0.6,0,0.89,0.54,0,0,0,0,5.66,0,0.88,0.69,12.33,0,0,0.81,0,0,1.44,0,0,0,4.49,2.62,3.46,0
 84-94,0,0,0,0,12.05,0,9.12,0.62,0,0,1.86,0,0,0,0.69,0.96,0.99,0,5.65,0,0,0,10.82,0,0,5.44,0,0.6,3.45,0,0,0,3.19,0,1.51,0
 96-106,0,0,0,0,2.54,4.75,9.09,0,0,0,0,0,0,0.73,0,0,0,11.78,8.09,2.26,0,0,15.37,0,1.45,1.67,0,0,13.35,0,0,0,0,0,4.26,0
108-118,0,0,0.54,0,3.95,0.77,6.1,0.42,0,2.16,3.04,0,0,0,0,0,4.47,0,12.04,0,0,4.49,9.24,0,1.92,0,0,0,5.84,0,1.88,0,0,1.76,0,0
120,0,0,0,0,7.49,0,0,7.15,5.01,0,2.52,0,0,0,1.4,0,0,0,3.96,0,0,0,3.61,0,0,0,0,0,0,0,1.56,0,0,0,0,0
