stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,64.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0
  5-6,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,13.55,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,32.4,0,0,0,0,0,0,0,1.92,233.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0
 24-34,0,0,3.26,11.66,0,1.49,0,0,0,0,0,0,336.11,0,0.68,0,0.62,0,0,5,0,1.99,0.72,0,3.12,0,0,11.55,0
 36-46,0,0,1.2,0,0,0,0,0,0,0,0,0.73,276.58,0,0,0,0.65,0,0,3.12,0,0,0,0,5.02,0,0,12.7,0
 48-58,0,0,0.39,0,0,0.62,0,0,1.57,0,0,0,279.89,0,0,0,0.61,0,0,23.24,0,0.44,0,0,2.58,0,0,7.72,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,312.02,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,17.01,0
 72-82,0,0,0,0,0,1.59,3.39,0,0,0,0,0,484.04,0.61,2.6,0,3.69,0,0,8.26,1.04,0.59,0,0,0,1.59,1.82,53.31,0
 84-94,0,0,1.74,1.22,0,4.61,0,0,0,0,0,0,514.88,0,0,0,1.25,0,0,9.58,0,1.75,5.24,0,2.53,0,0,79.05,0
 96-106,0,0,6.4,6.9,0,8.8,0,1.74,2.43,0,0,3.1,633.61,0.56,2.13,0.65,10.5,0.68,0.66,12.9,0,0,4.11,2.06,0,0,0,95.84,0.74
108-118,0,0.83,16.61,4.24,0.72,3.76,1.47,0,0,0.46,0,0,515.12,0,0,0,0.76,0,0,17.61,0,0,2.11,0,0,0,2.05,76.4,1.26
120,0,0,4.97,0,0,7.43,0,1.5,2.04,1.92,0,0,715.28,2.06,1.15,0,14.16,0,2.58,6.23,0,0,0,0,0,0,0,43.46,6.61
