stage,blastomeres,endocrine.pancreas,eye,glial,mesenchyme,neural,spinal.cord
  3-4,15.73,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.81
 24-34,0,0,0,0,0,1,0
 36-46,0,0,0,0,0,2.96,0
 48-58,0,0,0,0,0,7.54,2.98
 60-70,0,0,0,0,0,28.35,0
 72-82,0,0,0,0,0,27.02,0
 84-94,0,0,3.11,1,2.63,20.34,5.4
 96-106,0,0.61,0,0,0,37.39,5.47
108-118,0,0,0,0,0,25.2,0
120,0,4.41,0,0,0,29.71,0
