stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,5.17,1.03,12.1,4.33,0.93,0,0,0,29.35,0.96,0,0,0,0,0,0,0,4,0,0,5.06,297.08,12.32,3.8,0,0,3.81,1.46,7.64,193.57,0,0,0,0,0
 24-34,1.94,0,10.3,0,13.61,0,1.53,0,6.64,0.74,0,0,0,0,0,0,0,11.5,0,0,8.46,1703.93,6.27,15.76,0.73,9.55,0.6,1.26,0,249.05,0,0,11.39,0,0.61
 36-46,0,0,4.58,0,201.79,0,0.89,0,14.1,0.56,0.93,0,0,1.11,0,0,0,13.18,0,0.98,0.72,3201.62,8.74,11.55,1.51,0.61,0,0,0,402.39,0,0,3.42,0,0
 48-58,0,0,8.91,1.7,949.96,2.64,1.45,0,59.14,0,0.42,0,0,0,0.4,3.98,0,50.5,0,4.25,3.1,3372.05,14.74,2.05,2.64,3.67,0,0,0,405.32,0,0,2.83,0,8.22
 60-70,14.97,0,12.71,0,2776.59,0,2.8,0,29.97,0,0.78,9.65,0,4.76,5.4,0,0,36.03,0,0,2.43,3255.8,0.58,1.58,2.95,5.96,0,0,0,384.49,1.22,0,0.58,0,7.95
 72-82,1.55,0,19.8,3.16,2577.24,0,0,3.67,52.87,4.74,0.58,0.61,0.56,1.13,4.5,0,3.59,70.78,0.55,3.54,0.92,2388.52,0,7.1,11.33,8.13,0,0,0,229.54,1.46,0,2.94,1.37,9.29
 84-94,2.96,0,37.46,0.73,1780.67,1.9,0.56,3.15,62.19,0,2.31,3.88,0,1.46,4.09,0,0,42.62,0.93,0.63,2.28,1415.23,0,1.04,8.28,5.6,1.52,0,0,152.4,2.66,2.45,7.77,2,9.31
 96-106,0.99,0,14.14,2.04,1397.42,2.14,1.24,4.59,38.33,1.41,0,2.04,1.53,1.42,0,26.33,0,43.49,1.66,0,1.41,1171.15,0,10.58,9.15,10.12,3.39,0,0,60.41,2.01,1.93,8.74,1.27,0
108-118,3.31,0,17.18,4.61,1092.66,1,2.05,2.35,9.12,1.88,0.59,0,0,1.71,3.22,0.45,2.76,28.93,0.94,0.69,5.39,1592.21,0.46,8.99,5.83,3.8,0,0,0,51.14,2.6,1.51,3.89,0.73,2.91
120,0,0,33.12,1.06,1111.32,2.11,1.55,2.81,73.14,3.49,0,1.99,0,0,7.32,0,1.79,48.77,0,0,16.75,2449.76,0,29.6,5.47,2.9,0,0,0,29.17,0,0,4.78,8.22,0
