stage,epidermis,eye,glial,immune,iridophores,mesenchyme,mural_cell,neural,slow_muscle,spinal_cord,xanthophores
 14-21,0.91,14.5,8.1,0,0,0,0,176.79,12.06,59.72,0
 24-34,1.61,12.66,0.93,0,0,0,0,156.13,0,31.34,0
 36-46,0,39.04,4.08,0,0,9.6,0,281.1,0,36.96,0
 48-58,0,41.8,4.09,0,0.38,0.4,0.41,154.96,0,31.02,0
 60-70,0,15.72,3.62,0,0,0,0,17.86,0,9.62,0
 72-82,0,79.86,4.57,0,0,0,0,66.97,0,1.3,4.41
 84-94,0,87.22,0.91,0,0,1.13,0,55.91,0,1.49,0
 96-106,0,17.3,0,0,0,0,0,52.34,0,0,0
108-118,0,29.17,0,0.44,0,0,0,37.92,0,0,0
120,2.59,40.26,0,0,0,0,0,51.49,0,0,0
