stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,418.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,131.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.12,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.85,7.13,0,0,7.47,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.24,0,0,0,195.63,0,0,5.55,0,7.35,0,77.12,0,0,0,0,0,0
 14-21,0,0,0,2.97,49.32,19.39,0,12.24,0,0,0,3.9,0,0.81,0,0,4.87,0,1.33,0,14.62,0,0,39.96,85.3,6.17,3.2,1.3,0.92,0,7.94,3.33,74.17,14.63,640.93,1559.77,26.79,0,0,1.82,0,0
 24-34,0,0,0,0.93,25.81,1.27,0,16.24,58.02,2.47,0,2.03,1.35,0,0.82,1.45,14.64,0,0.71,0,19.01,0.87,2.43,47.88,101.2,10.01,2.8,6.34,0,0,65.32,0,2.4,11.1,190.16,542.75,34.98,0,0,20.21,0,0
 36-46,0,0,0,0.56,11.38,0,0,16.3,75.54,0,0.78,9.24,0.74,1.18,0,9.14,2.22,0,0,9.44,22.76,5.64,0.89,46.85,61.76,4.25,2.86,4.91,0,0,104.95,0,0,9.88,59.27,28,12.45,0,0,3.89,0,0
 48-58,0,0,0,0,6.97,0,0,39.49,28.86,1.46,0.81,10.62,0,12.31,0.38,13.7,1.88,0.42,2.69,7.03,24.6,1.16,0,47.78,65.39,3.36,0.44,3.41,0,0,86.31,0,0,7.71,44.8,0,8.5,0,0,2.47,0,0
 60-70,0,0,0,0,8.04,0,0,70,27.98,1.94,1.58,42.61,0,5.49,0,22.01,0,0,1.31,0,64.77,1.1,0,29.8,48.59,0.66,0,16.37,0.81,0,96.32,0,1.38,4.72,18.92,0,8.31,0,0,0,0,2.19
 72-82,0,0,1.29,0,10.81,3.21,0,29.87,25.92,2.31,0.75,82.11,8.65,8.97,1.41,24.28,13.13,0,0.68,10.12,75.82,8.97,0,36.24,55.77,5.44,3.65,9.03,0,1.31,78.11,0,0,9.51,12.49,0,15.2,0,0.72,4.65,0,0
 84-94,0,0,0,0,33.57,11.19,0,55.11,42.39,3.01,0,58.73,10.72,13.09,0,44.78,17.84,0,4.71,14.59,45.73,3.24,2.04,44.37,52.48,1.6,0.57,12.11,0,0,226.02,0,0,10.19,27.28,0,20.19,1.53,0.63,5.57,0,0
 96-106,0,0,4.59,0,61.1,23.73,3.63,84.35,26.53,8.33,0,126.99,30.82,0,1.81,48.82,18.36,2.18,12.05,51.71,122.39,22.28,1.92,57.96,93.46,2.98,3.42,9.75,0,0,204.03,0,0,8.22,14.42,0,16.31,4.18,2.98,8.07,1.16,4.53
108-118,0,0,1,0,48.39,11.87,22.36,28.04,47.33,8.32,2.37,131.7,35.77,0,0,58.46,17.88,0,22,47.98,161.99,24.12,1.65,101.96,126.33,9.03,1.88,12.17,0,0,248.44,0,0,19.31,24.62,0,9.1,4.28,0,5.94,0,0
120,1.19,0,1.22,0,65.64,7.89,3.32,78.15,63.08,8.98,2.63,124.29,47.57,0,0,42.94,23.92,0,1.69,21.59,168.38,19.01,0,108.16,114.77,20.2,21.53,13.1,0,0,188.35,0,0,12.23,8.98,0,12.98,1.19,0,7.5,0,0
