stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,14.18,0,0
 14-21,0.94,1.32,0,0,0,0,0,0.96,0,0.85,0,0,0.88,0,1.83
 24-34,0,0,0.65,0,0,0,0,2.39,0.6,6.93,0,0,0,0,3.16
 36-46,0,0,0,0,0,0,0,1.5,0,6.32,0,1.29,0,0.59,0.92
 48-58,0.6,0,4.62,0,0,0,0,0.42,0,6.38,0,0,0,0.42,0
 60-70,0,0,1.16,0,0,0,0,0,0,3.61,0,0,0,0,0.77
 72-82,2.78,0,1.28,0,0,0,3.94,0.62,0,7.86,0,0,0,0,0
 84-94,0,0,0,0,2.78,0,0,0,0.7,0,1.54,0,0,0,0
 96-106,0,0,3.75,0,2.52,0,0,2.5,0,8.04,0,0,0,0,0
108-118,0.7,0,0,0,0,1.2,0,0,0,9.65,0,0,0,0,0
120,0,0,0,2.48,0,0,0,0,0,18.25,0,0,0,0,0
