stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.84,0,34.49,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,55.26,0,0,0,0,8.77,0,0,0,0,0
 24-34,0.83,0.99,0,20.36,0,0,0,2.76,0,0,0,0,0,0,5.63,0,0,0,95.79,0,0,0,0,10.28,0,0,0,0,0
 36-46,0,0.57,0,9.91,0.68,0,0,8.56,0,0,0,0,0,0,14.15,0,0,0.59,32.3,0,0,0,0,9.4,0,0,0,0,3.04
 48-58,0,12.91,0,17.78,0.51,0,0,1.22,0,0,0,0,0,0,81.85,0,0,1.4,37.32,0,0,0,0,3.43,0,0,0,0,0
 60-70,0,23.4,0,34.71,3.52,1.35,0,8.32,0,0,0,0,0,0,263.57,0,5.65,5.77,51.4,0,3.21,0.63,1.7,2.54,0,1.67,0,0,0
 72-82,0,30.35,0,76.3,9.12,0,4.21,16.49,0,0.66,0.71,0,0,0,707.83,0,1.81,22.78,41.75,0.79,0.5,1.97,2.93,2.14,1.36,1.33,0,8.5,0
 84-94,0,87.28,0,83.61,1.33,2.31,0,10.37,0,0,2.65,0,0,0,393.07,0,2.35,15.65,42.98,0,0,0,0,0,0,1.27,0,2.14,0
 96-106,0,75.3,10.15,67.58,8.67,3.19,17.06,16.76,0.88,0,0.66,0,0,0,553.33,0,5.07,11.55,71.88,1.03,0,6.22,2.1,0.73,1.64,4.97,4.97,4.79,0
108-118,0,131.79,0,92.71,10.67,5.04,3.94,12.13,1.76,2.06,0,1.26,0.49,1.67,798.77,1.09,14.97,18.8,76.84,0,0,6.93,1.01,6.26,0.52,3.69,0,9.79,0
120,0,96.22,1.79,63.76,53.78,8.79,6.71,19.67,4.23,0,1.3,2.37,0,0,898.19,0,21.58,2.74,143.75,0,0,15.86,0,0,0,0,0,36.97,0
