stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,taste,vasculature
 14-21,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,2.26,0.85,0,0,1.16,0,0
 24-34,0,0,0,0,0,0,0,0,1.21,0,0.68,0,0,3.78,0,0,8.21,0,0,0,1.06,0,0
 36-46,10.98,0,0,0,0,0,1.28,0,0.65,0,1.28,0,0,0,1.95,0,21.72,0,0,0,2.04,0,0
 48-58,0,0,2.77,0,0,0,2.16,0,0,0,4.82,0,0,0,1.59,0.51,22,0,11.28,0,2.26,0,0
 60-70,0.9,0,4.15,0,0,0,1.56,0,0,0,4.15,0,0,0,3.83,0.75,15.27,0,0,2.36,5.92,0,0
 72-82,5.75,0,7.78,0,0,0.7,4.39,0,0,0,3.26,0,0,0,1.95,0.63,6.21,0,0,0,20.71,0,0.54
 84-94,0,0,2.21,0,0,0,0,0.73,0,1.79,28.34,1.13,0,0,0.67,0,18.83,0,0,0,0,4.42,0
 96-106,4.58,8.02,1.2,0.64,2.42,0,2.15,0,0,0,22.67,0,0,0,0,0,15.02,0,1.2,0.83,0,0,1.32
108-118,1.53,0,7.74,0,0,0,0,0,0.56,0.9,33.63,0,0,0,0,0,26.02,2.3,0,0,0,0,0
120,0,0,0,2.44,0,0,11.21,0,0,0,4.16,0,12.82,0,1.16,0,11.66,0,0,13.32,15.53,0,0
