stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,23.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0,20.75,0,8.47,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.11,0,4.33,0,0,0,0,0,0,0
 14-21,0,4.01,11.54,0,0,0,0,0,1.07,0,0,10.52,0.83,0,1.89,0,0,7.9,1.15,0.89,0,0,0.96,0
 24-34,0,0,0,1.15,0,0,0,0,0.75,1.32,0.77,8.39,0,0,1.42,0.69,0,3.07,0,0,0,0,1.68,0
 36-46,0,0,0,1.98,0,0,0,0,0,13.4,0,0.67,2.78,0,4.11,0,0,13.25,0,0,0,0,3.78,0
 48-58,0,0.41,0,10.64,0,0,0,0,0,8.12,0,0,0.37,0,2.81,0,0,1.39,0,0,1.11,0,2.72,0
 60-70,0,0,0,7.54,0,0,1.45,0,0,5.87,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,4.02,0,0,12.45,0,0,26.83,1,0,0,0.67,6.64,0,0,0,0,0,0,0,4.27,0
 84-94,0,1.05,0.74,0,0,0,14.88,0,2.63,19.86,0.56,0,3.83,0,0,0,0,0,0,0,0,0,1.1,0
 96-106,0,2.46,0,9.22,0,0,16.83,0,0,25.71,0,0,0,0,3.26,0,0,0.59,0,0,0,0.56,3.7,1.44
108-118,0,1.31,0,0.66,2.7,1.58,25.93,0,0,14.66,3.24,0,0,0,0,0,0,1.67,0,0,0,0,4.81,0
120,0,1.77,0,0,0,0,20.53,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0
