stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.38,5.5,0,0,21.96,0,0,0,0,3.51,0,0,0,0
 14-21,1.32,1.77,32.53,1.96,12.91,0,0,0,0,0.95,0,0,0,0,0.99,0,0,1.36,578.43,0,6.9,7.08,0,0,1.12,0,1.71,424.75,0,0,0,0
 24-34,0,0,9.91,0,27.96,0,0,4.53,0,0,0,0,0,0,8.93,0,0,0.91,2163.35,0,0,3.76,0,4.85,0,3.34,0,903.73,0,0,0,0
 36-46,0,0,3.15,0,108.31,0,0,1.24,0,1.56,0,0,0.57,0,2.68,3.23,0.86,0.58,2100.87,0,0,0,0,1.22,0,0.69,0,917.69,0,1.62,0,0
 48-58,0,0,0,0,328.28,0.38,0,13.47,0.59,0,11.01,0.44,1.04,0,8.76,0,0,0,1106.08,0,0.52,0,0,1.59,0,0,0,396.59,1.28,0,0,0.62
 60-70,0,0,0.93,0,508.47,0,0,3.37,0,3.4,0,0,4.93,0,6.33,0,0,0,741.33,0,1.48,0,0,7.92,0,0,0,214.29,0,0,0,4.47
 72-82,0,0,3.45,2.4,191.3,0.5,2.19,3.19,0,4.6,0,0,3.75,0.85,4.93,0,0,0,473.82,0,0,0,0,0,0,0,0,116.29,0,0,0,8.1
 84-94,0,0,1.35,0,199.48,0,0.87,15.04,0,0,5.17,0,8.55,0,7.38,0,0,1.93,307.5,0,3.13,0,0,1.69,0,0,0,94.71,1.91,0,0,0
 96-106,0,0,6.37,0,171.61,0,0,5.06,0,0.86,0,0,8.9,0,5.91,0,0,1.2,218.63,0,0,0,0,0,0,0,0,37.03,0,0,0,0
108-118,0,0,3.5,0,204.2,0,0,4.61,0.49,0,0,0,13.6,0,9.6,0,0,0,286.28,0,2.41,0,0,0,0,0,0,26.16,0,0,1.64,0
120,0,0,0,0,150.51,0,0,13.92,0,2.51,0,0,1.33,0,1.28,0,0,1.49,345.69,0,0,0,0,0,0,0,0,1.64,2.2,4.29,0,0
