stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0,14.37,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.06,0,0,0,0,0,0.91,0.86,0,0,0,0,0
 24-34,0,0.6,0,0.94,0,0,0,0,0,0,0,0,0.76,0,0,2.33,0,0,0,23.05,0,0,0,0,0,0,0,6.95,0,0,0,0.77
 36-46,0,0,0,3.73,0,0,1.14,0,0,0,0,0,0,0.57,0,0.59,0,0,0,32.04,0,0,0,0,6.08,0,0,21.1,0,0,0,0
 48-58,0,0.6,0,4.29,0,0,1.13,1.57,0,0,0,0,0,0,0,11.39,0,0.58,0,20.95,0.38,0,0,0,11.69,0,0,3.49,0,0,0.41,0.51
 60-70,0,0,0,12.96,0,0,1.12,0,0,0,0,0,0,0,0,3.76,0,0,1.39,25.29,0,0,0,0,0,0,0,4.24,0,0,0,0
 72-82,0,1.05,2.77,9.95,0,0.76,6.04,0,0,0,0,0,0,0,0,13.34,0,0,0,18.32,0,1.28,0,0,1.55,0,0,0,0,0,0,0
 84-94,0,0.81,2.98,7.55,1.52,0,0,0,0,1.22,0.76,0,0,0,0,3.16,0,0,0,10.46,0,1.72,0,0,14.53,0,0,0,0.55,0,1.79,0
 96-106,0,2.72,7.21,13.53,0,0,3.73,0,0,0,0,0,0,0,0,11.83,0,0,0,25.35,0,2.23,0,0,15.13,0,0,0,0,0,1.1,0
108-118,0,1.66,9.01,1.84,0,0,3.6,2.03,0,0,0,0.43,0,0,1.37,13.63,8.07,0,1.44,23.36,0,0,0.43,0,12.07,0,0,4.16,0,1.17,0.92,0
120,0,10.27,23.24,11.53,3.37,0,49.23,1.55,0,0,13.26,10.76,0,0,0,59.49,1.47,0,0,79.78,0,0,6.17,0,16.47,0,0,25.13,0,0,0,0
