stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,11.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.12,32.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.94,8.54,0,9.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,3.67,0,21.64,0,6.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.15,0.98,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,0,3.38,2.94,0,0.95,1.19,0,0,0.91,0,164.14,13.83,1.06,0,0,0
 24-34,0,0,0,1.84,1.39,0,2.53,63.86,0,1.94,0,1.65,0,0,0.64,0,1.75,4.73,4.95,0,42.68,73.52,1.38,2.63,0,5.25,0,0,10.87,136.74,46.5,16.87,0,13.71,0
 36-46,0,0,0,15.99,0,0,5.07,142.61,0,2.86,0,3.21,0,0.68,0,0,0,7.59,0,0,16.04,42.51,1.28,1.62,0,11.67,0,0,3.93,96.8,5.87,17.63,0,1.17,0
 48-58,0,0,0,0.4,0,0,27.8,106.1,4.49,2.48,0,2.18,0,0,1.49,0,0,7.27,0,0.49,14.98,90.42,1,2.16,0,3.18,0,0,0.85,44.86,0,27.71,0,1.83,8.05
 60-70,0,0,0,9.03,0,0,35.2,65.7,0,3.8,0.63,0,0,0,1.41,0,0,30.71,0,0,16.19,96.83,0,2.08,0,5.47,0,0,0,38.67,0,23.49,0,0,0
 72-82,0,0,0.69,4.68,11.57,0,28.4,51.6,0,12.55,0,0.58,0,0,2.88,0,6.03,15.04,0,0,5.38,76.72,0,1.87,2.25,1.08,0,0,1.09,6.59,0,16.52,0,12.25,0
 84-94,0,0,0,0,2.55,0,34.78,43.06,0.74,6.47,0,0,1.07,0,0,0,0,27.52,0,0,16.3,24.04,0,14.92,0,2.18,0,0,0.76,15.71,0,9.51,1.21,4.11,3
 96-106,0,0,0,2.27,4.08,0,45.1,43.66,1.05,12.26,0.79,0,0.86,0.58,0,1.78,0,34.88,0,2.42,9.92,68.95,0,6.31,1.2,6.78,0,0,0.89,14.32,0,2.51,0,1.97,0
108-118,0,0,0,3.64,5.15,0.55,44.74,40.96,2.32,4.68,0.59,0,1.59,0,0,1.34,0,17.57,0,0,21.05,63.98,0,8.08,0,0.59,0,0,1.7,20.25,0,2.28,0.75,5.75,3.72
120,0,0,0,14.02,0,0,25.64,64.61,0,5.11,1.12,0,0,0,0,2.7,0,18.03,0,0,1.46,77.9,0,6.44,0,0,0,0,0,8.03,0,0,0,0,0
