stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,3.73,24.98,0.94,6.85,0,0,6,1.85,0,0,0,0,0,6.66,0,0,1.44,155.33,0,3.11,3.73,1.81,10.33,20.26,0,6.87,58.29,0,1.07,0,0
 24-34,0,0,5.19,1.54,26.97,0,0,2.28,0.68,0,0.86,0,1.63,0,8.36,0.73,0,1.33,360.88,1.15,7.7,6.14,0,26.19,0,0,2.13,85.29,0,3.83,0,0
 36-46,0.95,0.56,6.57,0,124.79,0,0,10.16,0,0,0,0,0.61,0,5.56,0,0,2.68,208.67,1.12,2.33,5.17,0,20.76,0,0,0,64.81,0,0.76,0,0
 48-58,0,0.4,18.36,0,160.62,0.39,0,29.51,0,0,0.37,0,1,1.78,11.48,5.44,0.55,2.22,218.93,0,0,6.31,0,9.88,0,0,0,36.04,0,3.04,0,0.5
 60-70,0,0,18.1,0,102.62,0,0,2.18,1.6,0,0,0,0.65,1.06,8.37,0,5.9,12.47,100.93,0,0,1.82,0,7.11,0,0,0,7.12,0,11.54,0,0
 72-82,0,0,6.56,0,36.85,0,0,6.41,3.39,0,2.21,0,0,5.32,13.58,0,1.08,4.32,45.75,0,1.3,0.76,0,1.86,0,0.64,0,13.91,0.76,2.75,0,1.1
 84-94,0,0,6.96,0,21.09,0,0,10.27,3.02,2.18,4.55,0,0,0.96,4.05,0,0.65,1.92,54.62,0,2.63,1.72,0,5.92,0,0.74,0,3.25,0,3.56,0,0
 96-106,0,0,5.56,0,23.98,0,0,8.35,5.32,0.72,1.46,0,0.81,2.18,11.15,0,0.69,2.09,80.17,0,0.68,2.26,0,5.96,0,0,0,10.36,0,0.67,0,0
108-118,0,0,4.11,0.59,28.29,0,0.51,11.97,5.51,1.48,2.3,0.9,0,0,7.82,0,3.9,1.25,51.75,0,0,2.57,0,6.34,0,0,0,0.88,10.31,2.43,0,0
120,3.73,0,2.75,0,16.28,0,0,28.59,2.28,0,1.4,0,0,3.99,2.79,0,0,0,148.39,0,0,6.98,0,16.58,0,0,0,8.38,0,0,7.07,2.34
