stage,axial,blastomeres,erythrocytes,eye,mesenchyme,neural,paraxial_mesoderm,periderm,pronephros,xanthophores
  5-6,6.19,12.13,0,0,0,0,0,8.08,0,0
  7-9,0,0,0,0,0,41.45,3.97,0,0,0
 10-12,0,0,0,0,0,51.38,0,0,18.13,0
 14-21,0,0,0.87,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.69,0,0,0,0,2.35
 48-58,0,0,0,1.15,0,0,0,0,0,0
