stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  5-6,27.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.34,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,29.87,5.05,0,0,11.23,0,0,0,0
 10-12,0,6.18,0,0,0,0,0,3.53,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0
 24-34,0,0,0.61,0,0,0,0,0,0,0,0,0.65,0,0,0,0,4.34,0,0,0,0,1.29,0,2,0
 36-46,0,0,0,0.74,0,0,0,0,0,0,0,0,0,1.05,0,0,8.99,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.88,0,2.93,0,0,0,0,0,0,0,1.19,0,0.86,8.49,0,0,0,0,0,0,2.84,1.99
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.51,0,0.97,0,0,1.07,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.24,0,0,0.91,0,0,0,0,0,0,0,0,0,6.54,0,0,0,0,1.83,0,2.7,0
 96-106,0,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0,1.08,2.12,0,0,0,0,1.41,0,0,0
108-118,0,0,0,1.41,0.6,0,0.84,0,0,2.07,0.83,0,0,0,0,0,2.05,0,1.36,0.64,0,0,0,0,0
120,0,0,0,15.15,0,1.21,0,0,0,0,0,0,1.5,15.25,1.47,7.45,4.34,0,0,0,0,0,0,0,4.04
