stage,axial,blastomeres,eye,ionocyte,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vasculature
  3-4,15.77,29.51,0,0,0,0,0,0,0,0
  5-6,0,94.33,0,0,0,0,0,0,0,0
  7-9,0,0,4.61,0,0,50.05,0,17.18,0,0
 10-12,0,0,0,0,0,20.69,0,42.41,0,0
 14-21,0,0,0,0,0,0,0,0,3.58,0
 24-34,0,0,0,0,0.9,5.35,0,0,0.8,0
 36-46,0,0,0,0,0,3.37,0,0,2.61,0
 48-58,0,0,0.77,0,0,3.02,0,0,0,0
 60-70,0,0,0,0,0,1.78,2.92,0,0,0
 72-82,0,0,0,0,0,7.2,0,0,0,1
 84-94,0,0,1.17,0.8,0,1.4,0,0,0,0
 96-106,0,0,1.22,0,0,0,0,0,1.89,0
108-118,0,0,0,0,0,1.87,0,0,0,0
120,0,0,0,0,0,7.22,0,0,0,0
