stage,blastomeres,endocrine.pancreas,erythrocytes,eye,fast.muscle,glial,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,24.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,13.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,0,0,0,0,0,0,0.84,0,0,0,0.82,0,0,0,0.89,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.21,0,0,0,6.02,0,0,0,0,0,0
 36-46,0,0,0.57,0.61,1.17,0,0,0,0,0,0,0,0,4.26,0,0,0,0,1,0
 48-58,0,0,0,1.46,1.2,1.53,0,0,0,0,0,0,1.44,3.93,0,0,0,0,1.72,0
 60-70,0,0,0,4.69,0,0,0,2.84,0,0,0,0.66,0,5.23,0,0,2.16,0,1.16,0.73
 72-82,0,0.79,0,5.34,4.18,0,0,0,0,0,0,0,0,6.64,0,0,0,0,0,0
 84-94,0,0,0,9.5,0,0,0,0,0,1.44,0,0,0.96,0,0,0,0,0,4.13,0.95
 96-106,0,0,0,16.99,1.77,0.66,2.32,0.84,0,1.47,0.71,0,0,0.58,0.88,0,0,0,1.72,2.08
108-118,0,0,0,3.77,0.92,0,0.84,0,0,0,0,0,0,6.66,0,1.06,0.53,0,0,2.77
120,0,0,0,4.46,22.28,0,0,0,1.85,0,0,0,0,18.8,0,0,0,0,0,0
