stage,eye,fin_epithelia,glial,immune,ionocyte,mesenchyme,mural_cell,neural,periderm
 24-34,0,0.7,0,0,0,0,0,1.5,0
 36-46,0,0,0,0,0,0,0,1.75,0
 48-58,0,0,0,0,0,0,0,0.55,0
 60-70,0,0,0.57,0,0,0,0,0.95,0
 72-82,1.41,0,0,0,0,0.61,0,0,0.51
 96-106,0.74,0,0,0,0.85,0,1.25,5.69,2.51
108-118,0,0,0,2.04,0,0,0,1.19,3.56
120,0,0,0,0,0,0,0,0,5.43
